Items/Related party,Promoter,Subsidiaries,Key management personnel,Total
Deposits taken,"3,679.07","1,423.41",18.54,"5,121.02"
,"(7,717.90)","(1,423.41)",(22.51),"(9,163.82)"
Deposits placed,0.47,10.62,0.76,11.85
Advances given,-,"5,181.82",2.55,"5,184.37"
Fixed assets purchased from,-,-,-,-
Fixed assets sold to,1,1,1,-
Interest paid to,8.53,11.88,1.82,22.23
Interest received from,-,431.26,0.09,431.35
Income from services rendered to,308.94,62.91,#,371.85
Expenses for receiving services from,586.66,"2,470.47",0.31,"3,057.44"
Equity investments,-,"3,826.49",-,"3,826.49"
Other Investments,-,650.00,-,650.00
Dividend paid to,864.62,-,10.40,875.02
Dividend received from,-,-423.72,-,423.72
Receivable from,44.48,14.34,-,58.82
Payable to,100.28,147.26,-,247.54
Guarantees given,0.39,-,-,0.39
Remuneration paid,-,-,27.56,27.56
Loans purchased from,"24,127.25",-,1,"24,127.25"
