(i) Net NPAs to net advances            March 31, 2021    March 31, 2020
(ii) Movement of NPAs (Gross)          March 31, 2021    March 31, 2020
(a) Opening balance                     12,649.97         11,224.16
(b) Additions (fresh NPAs) during the year 16,040.01        17,563.13
(c) Reductions during the year:         13,603.98        16,137.32
(c) Reductions during the year:         1,601.63         3,604.60
(c) Reductions during the year:         2,713.27         4,278.23
(c) Reductions during the year:         9,289.08         8,254.49
(d) Closing balance                     15,086.00         12,649.97
(iii) Movement of net NPAs              March 31, 2021    March 31, 2020
(a) Opening balance                     3,542.36         3,214.52
(b) Additions during the year           3,012.06         4,885.53
(c) Reductions during the year          1,999.60         4,557.69
(d) Closing balance                     4,554.82         3,542.36
(iv) Movement of provisions for NPAs (excluding provisions on standard assets) March 31, 2021    March 31, 2020
(a) Opening balance                     9,107.61         8,009.64
(b) Additions during the year           13,027.95        12,677.60
(c) Write-offs                          9,289.08         8,254.49
(d) Write-back of excess provisions     2,315.30         3,325.14
(e) Closing balance                     10,531.18        9,107.61
