Asset,Asset,Estimateduseful life as,"Estimateduseful life underSchedule I ofCompanies Act,2013",
Asset,Asset,Estimateduseful life as,"Estimateduseful life underSchedule I ofCompanies Act,2013",
Asset,Asset,assessed by the,"Estimateduseful life underSchedule I ofCompanies Act,2013",
Asset,Asset,Company,"Estimateduseful life underSchedule I ofCompanies Act,2013",
Building,Building,60 years,60 years,
Leasehold,Leasehold,Tenure of lease,Tenure of leaseagreements,
improvements,improvements,agreements,Tenure of leaseagreements,
Motor cars,Motor cars,4 years,8 years,
Computers,Computers,2-5 years,3 years,
Furniture andfixtures,Furniture andfixtures,3-7 years,10 years,
Office equipments,Office equipments,3 years,5 years,
