Sr. ParticularsNo.,"Face value as at March 31,","Face value as at March 31,","Face value as at March 31,"
Sr. ParticularsNo.,2021,2021,2020
1.Securities kept as margin with Clearing Corporation of India towards:,,,
a) Collateral and funds management - Securities segment,,"2,120.00","1,820.00"
b) Collateral and funds management - Tri-party Repo,"62,361.84","62,361.84","57,899.98"
c) Default fund - Forex Forward segment,150.00,150.00,150.00
d) Default fund - Forex Settlement segment,51.05,51.05,51.05
e) Default fund - Rupee Derivatives (Guaranteed Settlement) segment,48.00,48.00,48.00
f) Default fund - Securities segment,65.00,65.00,65.00
g) Default fund - Tri-party repo segment,50.00,50.00,50.00
I.Securities kept as margin with the RBl towards:,,,
a) Real Time Gross Settlement (RTGS),"51,725.77","51,725.77","54,944.95"
b) Repo transactions,"49,959.91","49,959.91","54,622.56"
c) Reverse repo transactions,"24,948.85","24,948.85","22,389.54"
IⅢI.Securities kept as margin with National Securities Clearing Corporation ofIndia (NSCCiL) towards NSE Currency Derivatives segment.,107.72,107.72,107.72
IV.Securities kept as margin with Indian Clearing Corporation Limited towardsBSE Currency Derivatives segment.,161.00,161.00,161.00
V.Securities kept as margin with Metropolitan Clearing Corporation of Indiatowards MCX Currency Derivatives segment.,13.00,13.00,13.00
