Reg.No.,Reg.No.,Particulars,Particulars,Status ofcompliance,
17,17,Requirements pertaining to the Board ofDirectors,Requirements pertaining to the Board ofDirectors,Compliant,
,,Requirements pertaining to the Board ofDirectors,Requirements pertaining to the Board ofDirectors,Compliant,
17A,17A,Maximum number of Directorships,Maximum number of Directorships,Compliant,
18,18,Requirements pertaining to the AuditCommittee,Requirements pertaining to the AuditCommittee,Compliant,
,,Requirements pertaining to the AuditCommittee,Requirements pertaining to the AuditCommittee,Compliant,Cc
19,19,19,Requirements pertaining to Nominationand Remuneration Committee,Compliant,
20,20,Requirements pertaining to StakeholdersRelationship Committee,Requirements pertaining to StakeholdersRelationship Committee,Compliant,
21,21,Requirements pertaining to RiskManagement Committee,Requirements pertaining to RiskManagement Committee,Compliant,
,,Requirements pertaining to RiskManagement Committee,Requirements pertaining to RiskManagement Committee,Compliant,
22,22,Requirements pertaining to VigilMechanism,Requirements pertaining to VigilMechanism,Compliant,
,,Requirements pertaining to VigilMechanism,Requirements pertaining to VigilMechanism,Compliant,
23,23,Requirements pertaining to Related PartyTransactions,Requirements pertaining to Related PartyTransactions,Compliant,
,,Requirements pertaining to Related PartyTransactions,Requirements pertaining to Related PartyTransactions,Compliant,
24,24,Corporate governance requirements withrespect to subsidiary of listed entity,Corporate governance requirements withrespect to subsidiary of listed entity,Compliant,
24A,24A,Requirements pertaining to SecretarialAudit and Secretarial Compliance Report,Requirements pertaining to SecretarialAudit and Secretarial Compliance Report,Compliant,
,,Requirements pertaining to SecretarialAudit and Secretarial Compliance Report,Requirements pertaining to SecretarialAudit and Secretarial Compliance Report,Compliant,
25,25,Obligations with respect to independentdirectors,Obligations with respect to independentdirectors,Compliant,
26,26,"Obligations with respect to employeesincluding senior management, keymanagerial persons,directors andpromoters","Obligations with respect to employeesincluding senior management, keymanagerial persons,directors andpromoters",Compliant,
,,"Obligations with respect to employeesincluding senior management, keymanagerial persons,directors andpromoters","Obligations with respect to employeesincluding senior management, keymanagerial persons,directors andpromoters",Compliant,
27,27,Requirements pertaining to other corporategovernance requirements,Requirements pertaining to other corporategovernance requirements,Compliant,
46,46,Requirements pertaining to thedissemination of certain information undera separate section on the website,Requirements pertaining to thedissemination of certain information undera separate section on the website,Compliant,
