,As at 31-Mar-21,As at 31-Mar-20
Lease adjustment account,"442,456-",
As at 31 March of the preceding year,"442,456-","442,456"
Charge for the year,"442,456-",1
Total,"442,456","442,456"
Unamortised cost of assets on lease,"442,456",
Total,"50,995,631","46,268,558"
,"118,928,877",
SCHEDULE 11 - OTHER ASSETS,"118,928,877",
Interest accrued,"118,928,877","103,326,928"
IAdvance tax/tax deducted at source (net of provisions),"35,269,488","26,561,476"
Il Stationery and stamps,"434,856","430,930"
IV Non banking assets acquired in satisfaction of claims,"512,557",
vBond and share application money pending allotment,"225,000",
VlSecurity deposit for commercial and residential property,"5,687,949","5,626,425"
VIll Others*,"329,220,505","416,930,647"
Total,"490,279,232","552,876,406"
