As at 31-Mar-21,,,As at 31-Mar-20,,
Balances with banks:,,,Balances with banks:,,
In current accounts,"1,717,287,8","333,753,9,869",In current accounts,"1,717,287,8","333,753,9,869"
In other deposit accounts,"1,759,869",,In other deposit accounts,"1,759,869",
Total,"3,477,156,8","343,622",Total,"3,477,156,8","343,622"
Money at call and short notice:,,,Money at call and short notice:,,
With banks,,,With banks,,
With other institutions,,,With other institutions,,
Total,,,Total,,
Total,"3,477,156,8","343,622",Total,"3,477,156,8","343,622"
Outside India,,,Outside India,,
In current accounts,"47,628,696,110","344,840",In current accounts,"47,628,696,110","344,840"
In deposit accounts,"10,176,943,3","909,632",In deposit accounts,"10,176,943,3","909,632"
Money at call and short notice,"82,853,175,98","698,500",Money at call and short notice,"82,853,175,98","698,500"
Total,"140,658,814,212","952,972",Total,"140,658,814,212","952,972"
Total,"144,135,970,221","296,594",Total,"144,135,970,221","296,594"
Investments in India in,,,Investments in India in,,
Government securities,"3,230,399,049","3,511,410,385",Government securities,"3,230,399,049","3,511,410,385"
Other approved securities,,-,,-,
Shares,"4,044,055,4","332,926",Shares,"4,044,055,4","332,926"
Debentures and bonds,"264,503,537,617","897,218",Debentures and bonds,"264,503,537,617","897,218"
Subsidiaries / joint ventures,"38,264,875,38","264,875",Subsidiaries / joint ventures,"38,264,875,38","264,875"
"Others (Units, CDs, CPs, PTCs and security receipts)","359,227,260,241","696,270","Others (Units, CDs, CPs, PTCs and security receipts)","359,227,260,241","696,270"
Total,"3,896,438,776","4,413,601,674",Total,"3,896,438,776","4,413,601,674"
Investments outside India in,,,Investments outside India in,,
Government securities (including Local Authorities),"8,409,391,5","936,075",Government securities (including Local Authorities),"8,409,391,5","936,075"
Other investments,"35,024",,Other investments,"35,024",
Shares,"13,383,390,17","710,148",Shares,"13,383,390,17","710,148"
Debentures and bonds,"21,827,805,23","681,247",Debentures and bonds,"21,827,805,23","681,247"
Total,"3,918,266,581","4,437,282,921",Total,"3,918,266,581","4,437,282,921"
Advances,,,Advances,,
Bills purchased and discounted,"387,832,198,345","427,765",Bills purchased and discounted,"387,832,198,345","427,765"
"Cash credits, overdrafts and loans repayable on demand","2,340,489,951","2,559,778,239","Cash credits, overdrafts and loans repayable on demand","2,340,489,951","2,559,778,239"
Term loans,"7,208,706,632","8,423,160,305",Term loans,"7,208,706,632","8,423,160,305"
Total,"9,937,028,781","11,328,366,309",Total,"9,937,028,781","11,328,366,309"
Secured by tangible assets*,"6,812,916,518","7,618,839,623",Secured by tangible assets*,"6,812,916,518","7,618,839,623"
Covered by bank / government guarantees,"201,580,178,393","758,390",Covered by bank / government guarantees,"201,580,178,393","758,390"
Unsecured,"2,922,532,085","3,315,768,296",Unsecured,"2,922,532,085","3,315,768,296"
Total,"9,937,028,781","11,328,366,309",Total,"9,937,028,781","11,328,366,309"
Advances in India,,,Advances in India,,
Priority sector,"2,541,995,300","2,574,675,399",Priority sector,"2,541,995,300","2,574,675,399"
Public sector,"623,353,731,1","199,082,740",Public sector,"623,353,731,1","199,082,740"
Banks,"68,550,435,85","383,854",Banks,"68,550,435,85","383,854"
Others,"6,419,015,531","7,153,125,825",Others,"6,419,015,531","7,153,125,825"
Total,"9,652,914,997","11,012,267,818",Total,"9,652,914,997","11,012,267,818"
