1,(2),(2),(3),（4,（5),（5),（5),（6,（7) （8),（7) （8),（7) （8),
SI,Nameof the,Nameof the,Item from the listof activities inschedule Vll to,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Amountspent forthe Project-Direct (Yes/No),Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,
No.,Project,Project,Item from the listof activities inschedule Vll to,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Amountspent forthe Project-Direct (Yes/No),Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,
,Project,Project,Item from the listof activities inschedule Vll to,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Local Location of the projectarea(Yes/,Amountspent forthe Project-Direct (Yes/No),Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,Mode of Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,
,,,the Act,No,State District,State District,State District,(crore),Name CSRRegistrationnumber,Name CSRRegistrationnumber,Name CSRRegistrationnumber,
,,,,,State District,State District,State District,(crore),Name CSRRegistrationnumber,Name CSRRegistrationnumber,Name CSRRegistrationnumber,
16,16Sil Training,16Sil Training,Vocational,Yes,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,Odisha,Odisha,0.53,No Access NADevelopmentServices,
,Program for Youth,Program for Youth,Training and,,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,,,0.53,No Access NADevelopmentServices,
,,,LivelihoodEnhancement (ii),,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,,,0.53,No Access NADevelopmentServices,
,,,LivelihoodEnhancement (ii),,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,Odisha Angul & Dhenkal,,,0.53,No Access NADevelopmentServices,
17,Skill Training,Skill Training,Vocational,Yes,Odisha,Bhubneshwar,Bhubneshwar,0.76,No Friends UnionCSR00000051,No Friends UnionCSR00000051,No Friends UnionCSR00000051,
,Program for Youth,Program for Youth,Training and,,,Bhubneshwar,Bhubneshwar,,,,,
,,,,,,,,,for EnergizingLives,for EnergizingLives,for EnergizingLives,
,,,Livelihood,,,,,,for EnergizingLives,for EnergizingLives,for EnergizingLives,
,,,Enhancement (ii),,,,,,for EnergizingLives,for EnergizingLives,for EnergizingLives,
18,18Sil Training,18Sil Training,Vocational,Yes,Punjab,"Mansa, Bhatinda,Faridkot,","Mansa, Bhatinda,Faridkot,",0.25,No Institute of,No Institute of,NA,
,Program for Youth,Program for Youth,Training and,,,"Moga,Ferozpur,Barnala,","Moga,Ferozpur,Barnala,",,Livelihood,Livelihood,,
,,,Livelihood,,,"Sangrur, Patiala","Sangrur, Patiala",,Research &Training,Research &Training,,
,,,Enhancement (ii),,,"Sangrur, Patiala","Sangrur, Patiala",,Research &Training,Research &Training,,
19,19 Incubator Support,19 Incubator Support,Vocational,Yes,"Gujarat,Telangana,Delhi,UttarAhmedabad, Hyderabad,","Gujarat,Telangana,Delhi,UttarAhmedabad, Hyderabad,","Gujarat,Telangana,Delhi,UttarAhmedabad, Hyderabad,",4.90,No,"GUSEC,",NA,
,Program,Program,Training and,,"Pradesh,Rajasthan,Karnataka,","Delhi, Greater Noida (NCR),","Delhi, Greater Noida (NCR),",,,T-Hub,,
,,,Livelihood,,"Uttarakhand,Tamil Nadu,Uttar","Jaipur, Bangalore,Kashipur,","Jaipur, Bangalore,Kashipur,",,,"Foundation,",,
,,,Enhancement (i)/,,Pradesh,"Chennai, Varanasi","Chennai, Varanasi",,,"IIT Delhi,",,
,,,Contribution to,,,,,,,,,
,,,Contribution to,,,,,,,"BIMTECH,",,
,,,incubators (ix),,,,,,,AIC Banasthali,,
,,,,,,,,,,Vidyapith,,
,,,,,,,,,,,"Foundation,",
,,,,,,,,,,,"C-Camp,IM",
,,,,,,,,,,"Kashipur,",,
,,,,,,,,,,Villqro,,
,,,,,,,,,,Innovations,,
,,,,,,,,,,"Foundation,",,
,,,,,,,,,,IIT BHU,,
20,20Infrastructure for,20Infrastructure for,Ensuring,Yes,Madhya Pradesh,Niwadi & Chattarpur,Niwadi & Chattarpur,0.25,No Aakar,No Aakar,CSR0000299,
,water accessibility,water accessibility,EnvironmentSustainability-Maintaining,,,,,,,,,
,,,EnvironmentSustainability-Maintaining,,,,,,,,,
,,,EnvironmentSustainability-Maintaining,,,,,,CharitableTrust,CharitableTrust,,
,,,EnvironmentSustainability-Maintaining,,,,,,CharitableTrust,CharitableTrust,,
,,,"quality of soil, airand water (i)",,,,,,CharitableTrust,CharitableTrust,,
,21 COVID Relief,21 COVID Relief,Preventive,Yes,PAN India,Multiple District,Multiple District,70.00,No PM Cares NA,No PM Cares NA,No PM Cares NA,
,,,and Curative,,,Multiple District,Multiple District,70.00,No PM Cares NA,No PM Cares NA,No PM Cares NA,
,,,Healthcare,,,Multiple District,Multiple District,70.00,No PM Cares NA,No PM Cares NA,No PM Cares NA,
,,,()/DisasterManagement,,,Multiple District,Multiple District,70.00,No PM Cares NA,No PM Cares NA,No PM Cares NA,
,,,()/DisasterManagement,,,Multiple District,Multiple District,70.00,No PM Cares NA,No PM Cares NA,No PM Cares NA,
,,,(xi/ PM National,,,Multiple District,Multiple District,70.00,No PM Cares NA,No PM Cares NA,No PM Cares NA,
,,,Fund (vil),,,Multiple District,Multiple District,70.00,No PM Cares NA,No PM Cares NA,No PM Cares NA,
22,Community Kitchen,Community Kitchen,Preventive,Yes,Haryana,"Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa","Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa",0.60,Yes Direct NA,Yes Direct NA,Yes Direct NA,
,,,and Curative,,,"Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa","Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa",0.60,Yes Direct NA,Yes Direct NA,Yes Direct NA,
,,,Healthcare (),,,"Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa","Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa",0.60,Yes Direct NA,Yes Direct NA,Yes Direct NA,
,,,,,,"Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa","Karnal, Panchkula,Fatehabad,Nuh,BiwaniSirsa,Tohan, Gharaunda,Rewari, Kurukshetra,Rohtak,Khaital,Hansi,gdri,Panipat, Ambala, Gohana,Ateli,Jid,Samalkha, Hodal,Pataudi,Pehowa",0.60,Yes Direct NA,Yes Direct NA,Yes Direct NA,
