Name of the Director,BoardMeetingsattendedduring the year,"Attendanceat last virtualAGM (July 18,2020)"
Independent Directors,,
Mrs.Shyamala Gopinath1,12,Present
Mr.Malay Patel,17,Present
Mr. Umesh Chandra Sarangi,17,Present
Mr.Sandeep Parekh,17,Present
Mr.M.D.Ranganath,17,Present
Mr. Sanjiv Sachar,17,Present
Non-executive Directors,,
Mr. Srikanth Nadhamuni,17,Present
Mrs.Renu Karnad,17,Present
Executive Directors,,
Mr. Aditya Puri²,7,Present
Mr.Kaizad Bharucha,16,Present
Mr. Sashidhar Jagdishan3,9,NA
