Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,,,,
Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,Particulars Asat 31-Mar2021 2020,2021 2020,2021 2020,2021 2020,2021 2020
Tier Icapital,"198,587.36","198,587.36","198,587.36","171,414.44",,,,
Of which CET1 capital,"190,602.36","190,602.36","190,602.36","163,414.44",,,,
Tier Il capital,"13,958.94","13,958.94","13,958.94","12,843.41",,,,
Total capital,"212,546.30","212,546.30","212,546.30","184,257.85",,,,
Total riskweighted assets,"1,131,143.88","1,131,143.88","1,131,143.88","994,715.74",,,,
Capital adequacy ratios under Basel Ill,,,17.56%,,,,,
TierI,,,17.56%,17.23%,,,,
Of which CET1,16.85%,16.85%,16.85%,16.43%,,,,
Tier I,1.23%,1.23%,1.23%,1.29%,,,,
Total,18.79%,18.79%,18.79%,18.52%,,,,
