in‘000,in‘000,in‘000,in‘000,in‘000,in‘000,in‘000,,,
,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-20,,,
SCHEDULE 15 - INTEREST EXPENDED,"501,260,261","501,260,261","501,260,261","501,260,261","501,260,261",,,,
Interest on deposits,"501,260,261","501,260,261","501,260,261","501,260,261","501,260,261",,,,"507,888,796"
=Interest on RBl/inter-bank borrowings,,,,"90,644,278571,260","90,644,278571,260","113,068,058",,,
I= Other interest,,,,"90,644,278571,260","90,644,278571,260","417,362",,,
Total,,,,"592,475,799","592,475,799","621,374,216",,,
SCHEDULE16 - OPERATING EXPENSES,,,,,,,,,
Payments to and provisions for employees,"136,766,690","136,766,690","136,766,690","136,766,690","136,766,690","129,201,282",,,
"Rent,taxes and lighting","18,088,843","18,088,843","18,088,843","18,088,843","18,088,843","17,796,297",,,
I| Printing and stationery,"4,448,276","4,448,276","4,448,276","4,448,276","4,448,276","4,484,020",,,
IV Advertisement and publicity,"1,022,511","1,022,511","1,022,511","1,022,511","1,022,511","1,004,391",,,
VDepreciation on bank's property,,,"13,850,062","13,850,062","13,850,062","12,767,714",,,
"VlDirectors' fees / remuneration,allowances and expenses","56,833","56,833","56,833","56,833","56,833","39,741",,,
VIl Auditors' fees and expenses,"46,273","46,273","46,273","46,273","46,273","37,823",,,
VIll Law charges,"1,547,957","1,547,957","1,547,957","1,547,957","1,547,957","1,587,423",,,
"IX Postage, telegram, telephone etc.","5,402,395","5,402,395","5,402,395","5,402,395","5,402,395","4,716,491",,,
XRepairs and maintenance,"16,491,092","16,491,092","16,491,092","16,491,092","16,491,092","12,934,396",,,
Xl Insurance,"17,249,091","17,249,091","17,249,091","17,249,091","17,249,091","12,295,061",,,
XIl Other expenditure*,"135,042,545","135,042,545","135,042,545","135,042,545","135,042,545","133,495,916",,,
Total,"350,012,568","350,012,568","350,012,568","350,012,568","350,012,568","330,360,555",,,
