2015-2016,2016-17,2017-18,2018-19,2019-20,2020-21
"60,221.45","69,305.96","80,241.35","98,972.05","1,14,812.65","1,20,858.23"
"32,629.93","36,166.74","40,146.49","50,728.83","58,626.40","55,978.66"
"27,591.52","33,139.22","40,094.86","48,243.22","56,186.25","64,879.57"
"10,751.72","12,296.49","15,220.31","17,625.87","23,260.82","25,204.89"
"38,343.24","45,435.71","55,315.17","65,869.09","79,447.07","90,084.46"
"16,979.69","19,703.32","22,690.36","26,119.37","30,697.53","32,722.63"
"21,363.55","25,732.39","32,624.81","39,749.72","48,749.54","57,361.83"
"2,725.61","3,593.30","5,927.49","7,550.08","12,142.39","15,702.85"
"2,133.63","3,145.30","4,910.43","6,394.11","9,083.32","11,450.19"
591.98,448.00,"1,017.06","1,155.97","3,059.07","4,252.66"
"18,637.94","22,139.09","26,697.32","32,199.64","36,607.15","41,658.98"
"6,341.71","7,589.43","9,210.57","11,121.50","10,349.84","10,542.46"
"12,296.23","14,549.66","17,486.75","21,078.14","26,257.31","31,116.52"
"5,46,424.19",,,,,
"15,090.45","6,43,639.66","7,88,770.64","9,23,140.93","11,47,502.29","13,35,060.22"
"72,677.77","13,182.00","21,107.00","18,232.00","18,232.00","17,127.00"
"7,40,796.07","89,462.38 8,63,840.19","1,06,295.03","1,49,206.32","1,70,986.03 15,30,511.26","2,03,720.83 17,46,870.52"
"4,64,593.96","5,54,568.20","10,63,934.32 6,58,333.09","12,44,540.69","9,93,702.88","11,32,836.63"
"1,95,836.29","2,14,463.34","2,42,200.24","8,19,401.22","3,91,826.66","4,43,728.29"
,,,"2,93,116.07",,
24.42,28.59,33.88,,,
17.97%,,,39.33,48.01,56.58
13.22%,18.04%,18.22%,16.30%,16.76%,16.60%
15.53%,12.79%,13.25%,15.78%,17.23%,17.56%
4.75,14.55%,14.82%,17.11%,18.52%,18.79%
,5.50,6.50,7.50,***,6.50***
23.51% 143.74,23.32%,23.26%,23.36%,***,11.54%*** 369.54
535.58,174.56 721.28,204.80,273.94,311.83 861.90,"1,493.65"
21.93,25.23,964.50 28.47,"1,159.45 29.48",17.95,26.40
