in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,in ‘000,,,,,,,
,Schedule,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended,,,,,,,
,Schedule,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,Year ended31-Mar-21,31-Mar-20,,,,,,,
,I. INCOME,,,,,,,,,,,,,,,
,Interest earned 13,"1,285,523,933","1,285,523,933","1,285,523,933","1,285,523,933","1,285,523,933","1,285,523,933","1,285,523,933","1,221,892,915",,,,,,,
,Other income 14,"273,328,803","273,328,803","273,328,803","273,328,803","273,328,803","273,328,803","273,328,803","248,789,748",,,,,,,
,Total,"1,558,852,736","1,558,852,736","1,558,852,736","1,558,852,736","1,558,852,736","1,558,852,736","1,558,852,736","1,470,682,663",,,,,,,
,II. EXPENDITURE,,,,,,,,,,,,,,,
,Interest expended 15,"592,475,799","592,475,799","592,475,799","592,475,799","592,475,799","592,475,799","592,475,799","621,374,216",,,,,,,
,Operating expenses 16,"350,012,568","350,012,568","350,012,568","350,012,568","350,012,568","350,012,568","350,012,568","330,360,555",,,,,,,
,Provisions and contingencies [Refer Schedule 18 (15)],"297,796,688","297,796,688","297,796,688","297,796,688","297,796,688","297,796,688","297,796,688","245,985,239",,,,,,,
,Total,"1,240,285,055","1,240,285,055","1,240,285,055","1,240,285,055","1,240,285,055","1,240,285,055","1,240,285,055","1,197,720,010",,,,,,,
,II PROFIT,,,,,,,,,,,,,,,
,Net profit for the year,"318,567,681","318,567,681","318,567,681","318,567,681","318,567,681","318,567,681","318,567,681","272,962,653",,,,,,,
,Less :Minority interest,"235,590","235,590","235,590","235,590","235,590","235,590","235,590","423,147",,,,,,,
,Consolidated profit for the year,"318,332,091","318,332,091","318,332,091","318,332,091","318,332,091","318,332,091","318,332,091","272,539,506",,,,,,,
,Balance in the Profit and Loss Account brought forward,"618,176,878","618,176,878","618,176,878","618,176,878","618,176,878","618,176,878","618,176,878","528,496,075",,,,,,,
,Total,"936,508,969","936,508,969","936,508,969","936,508,969","936,508,969","936,508,969","936,508,969","801,035,581",,,,,,,
,IV. APPROPRIATIONS,"78,796,978","78,796,978","78,796,978","78,796,978","78,796,978","78,796,978","78,796,978",,,,,,,,
,Transfer to Statutory Reserve,"78,796,978","78,796,978","78,796,978","78,796,978","78,796,978","78,796,978","78,796,978",,,,"67,717,167",,,,
,Tax (including cess) on dividend,,,,,,,,"902,672",,,,,,,
,"Dividend (including tax /cess thereon) pertaining to previous year paidduring the year, net of dividend tax credits",,,,,,,,"48,933,585",,,,,,,
,Interim Dividend (including tax),,,,,,,,,"16,469,504",,,,,,
,Transfer to General Reserve,,,,"31,116,52522,916,842","31,116,52522,916,842","31,116,52522,916,842","31,116,52522,916,842","26,257,315",,,,,,,
,Transfer to Capital Reserve,,,,"31,116,52522,916,842","31,116,52522,916,842","31,116,52522,916,842","31,116,52522,916,842","11,238,460",,,,,,,
,Transfer to /(from) Investment Reserve Account,,,,"616,645","616,645","616,645","616,645",,,,,,,,
,Transfer to / (from) Investment Fluctuation Reserve,,,"17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979","11,340,000",,,,,,
,Balance carried over to Balance Sheet,,"618,176,878","17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979","17,120,000785,941,979",,,,,,,
,Total,"936,508,969天","936,508,969天","936,508,969天","936,508,969天","936,508,969天","936,508,969天","936,508,969天","801,035,581",,,,,,,
,V. EARNINGS PER EQUITY SHARE (Face value 1 per share),"936,508,969天","936,508,969天","936,508,969天","936,508,969天","936,508,969天","936,508,969天","936,508,969天",天57.88,天57.88,天57.88,天57.88,天57.88,天57.88,天57.88,王
,Basic,49.84,,,,,,,,,,,,,,
,Diluted,,,,,,,,天57.88,天57.88,天57.88,天57.88,天57.88,天57.88,天57.88,
,Diluted,,,,,,,,,,,,,,,
,Diluted,,,,,,,,57.61,57.61,49.46,,,,,
,Significant accounting policies and notes to the Consolidated financial statements 17&18The schedules referred to above form an integral part of the ConsolidatedProfit and Loss Account.,,,,,,,,,,,,,,,
