1 (2),1 (2),1 (2),1 (2),(3）,(3）,(3）,(3）,（4),,（5),(6),(6),(6),(6),（7),（7),(8),（9）,（10）,(11),,,,,,,
Sl.Name of the,Sl.Name of the,Sl.Name of the,Sl.Name of the,Item from the,Item from the,Item from the,Item from the,Local,Locat,on of theproject,Project,Project,Project,Project,AmountAllocated for,AmountAllocated for,Amount,Amount,Mode of,Mode of Implementation-Through Implementing Agency,,,,,,,
No. Project.,No. Project.,,,,list of activities,list of activities,list of activities,area,,,duration,duration,duration,ration,ration,the Project,spent in,transferred to,Implementation,Mode of Implementation-Through Implementing Agency,Through Imple,,,,,,
,,,,,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,Yes/No),State,District,District,District,District,District,District,,,the Project( crore),the currentfinancial,,,,,,,
,,,,,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,Yes/No),State,District,District,District,District,District,District,,,the Project( crore),the currentfinancial,,,,,,,
,,,,,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,Yes/No),State,District,District,District,District,District,District,,,the Project( crore),the currentfinancial,,CSRRegistration,,,,,
,,,,,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,in schedule VIlto the Act.,,State,District,District,District,District,District,District,,,the Project( crore),the currentfinancial,,CSRRegistration,,,,,
,,,,,,,,,,State,District,District,District,District,District,District,,,,,,,,Year ( crore),,,
,,,,,,,,,,State,District,District,District,District,District,District,,,,,,,,,,,
,,,,,,,,,,State,District,District,District,District,District,District,,,,,,,,the project asperSection135(6)( crore),,number,
107 HRDP,107 HRDP,107 HRDP,107 HRDP,Rural,Rural,Rural,Rural,Yes,Chattisgarh,Gariaband,1year,1year,1year,1year,0.77,0.77,0.77,NA,No,National,,,,,,,
,,,,Development,Development,Development,Development,,,Gariaband,1year,1year,1year,1year,0.77,0.77,0.77,,,,,,,,,,
,,,,Projects (x),Projects (x),Projects (x),Projects (x),,,Gariaband,1year,1year,1year,1year,0.77,0.77,0.77,,,,Women Child,,,,,,
