Topic,"Upstream (suppliers, investors)",HDFC Bank,"Downstream (customers, communities)"
Compliance,,✓,✓
Corporate Governance & Ethics,√,✓,✓
Data Security,√,✓,✓
Customer Privacy,√,✓,✓
Customer Satisfaction,,✓,✓
Selling Practice and Product Labelling,,✓,✓
Transparency and Disclosure,√,✓,✓
Economic Performance,√,✓,✓
Systematic Risk Management,,✓,
Financial Inclusion,,,√
Responsible Finance,,,√
Employee Welfare,√,✓,
Community Well-being,,,√
Physical Risk for Climate Change,√,✓,✓
Transition Risk for Climate Change,√,✓,✓
Climate Change Impact on Company's Cost of Debt,√,✓,✓
Emission and Climate Change,√,✓,✓
