Sr.No.,Particulars,Face value as at March 31,2021,Face value as at March 31,2020
I.,Securities kept as margin with Clearing Corporation of India towards:,2120.00,1820.00,,
I.,Collateral and funds management - Securities segment,2120.00,1820.00,,
I.,Collateral and funds management - Tri-party Repo,62361.84,57899.98,,
I.,Default fund - Forex Forward segment,150.00,150.00,,
I.,Default fund - Forex Settlement segment,51.05,51.05,,
I.,Default fund - Rupee Derivatives (Guaranteed Settlement) segment,48.00,48.00,,
I.,Default fund - Securities segment,65.00,65.00,,
I.,Default fund - Tri-party repo segment,50.00,50.00,,
II.,Securities kept as margin with the RBI towards:,51725.77,54944.95,,
II.,Real Time Gross Settlement (RTGS),51725.77,54944.95,,
II.,Repo transactions,49959.91,54622.56,,
II.,Reverse repo transactions,24948.85,22389.54,,
III.,Securities kept as margin with National Securities Clearing Corporation of India (NSCCIL) towards NSE Currency Derivatives segment.,107.72,107.72,,
IV.,Securities kept as margin with Indian Clearing Corporation Limited towards BSE Currency Derivatives segment.,161.00,161.00,,
V.,Securities kept as margin with Metropolitan Clearing Corporation of India towards MCX Currency Derivatives segment.,13.00,13.00,,
