Name of entity,Name of entity,Name of entity,"Net assets as of March 31, 2021","Net assets as of March 31, 2021","Profit or (loss) for theyear ended March 31,2021","Profit or (loss) for theyear ended March 31,2021",
Name of entity,Name of entity,Name of entity,Name of entity,As % of,,As % of,
Name of entity,Name of entity,Name of entity,consolidated,Amount***,consolidated,Amount***,
Name of entity,Name of entity,Name of entity,net assets**,,profit or loss,,
Parent:,Parent:,Parent:,,,,,
HDFC Bank Limited,HDFC Bank Limited,HDFC Bank Limited,97.10%,"203,720.83",97.75%,"31,116.53",
Subsidiaries*:,Subsidiaries*:,Subsidiaries*:,,,,,
1. HDFC Securities Limited,1. HDFC Securities Limited,1. HDFC Securities Limited,0.70%,"1,477.40",2.26%,720.52,
2. HDB Financial Services Limited,2. HDB Financial Services Limited,2. HDB Financial Services Limited,4.16%,"8,721.96",1.58%,502.83,
Minority Interest in all subsidiaries,Minority Interest in all subsidiaries,Minority Interest in all subsidiaries,0.30%,632.76,0.07%,23.56,
