S. No.,Name of the Director,DIN,Date of Appointment in the Company*
1,Mr. Aditya Puri1,00062650,"October 12,2004"
2,Mrs. Renu Sud Karnad,00008064,"March 3,2020"
3,Mr. Sanjiv Sachar,02013812,"July 21,2018"
4,Mr. Umesh Chandra Sarangi,02040436,"March 1,2016"
5,Mrs. Shyamala Gopinath2,02362921,"January 2,2015"
6,Mr. Kaizad Bharucha,02490648,"December 24,2013"
7,Mr. Srikanth Nadhamuni,02551389,"September 20,2016"
8,Mr. Sandeep Pravin Parekh,03268043,"January 19,2019"
9,Mr. Malay Yogendra Patel,06876386,"March 31,2015"
10,Mr. Dwarakanath Ranganath Mavinakere,07565125,"January 31,2019"
11,Mr. Sashidhar Jagdishan3,08614396,"October 27,2020"
12,Dr. (Ms.) Sunita Maheshwari4,01641411,"March 30,2021"
