As at 31-Mar-21,As at 31-Mar-20
Advances in India,"Priority sector,2,586,111,539,2,582,817,659"
Advances in India,"Public sector,1,199,082,740,623,353,731"
Advances in India,"Banks,85,383,854,68,550,435"
Advances in India,"Others,7,666,158,574,6,877,873,162"
Advances in India,"Total,11,536,736,707,10,152,594,987"
Advances outside India,"Due from banks,55,276,539,33,250,983"
Advances outside India,"Due from others,63,490,51,070"
Advances outside India,"Due from others,8,347,907,12,531,145"
Advances outside India,"Due from others,252,410,555,238,280,586"
Advances outside India,"Total,316,098,491,284,113,784"
Advances outside India,"Total,11,852,835,198,10,436,708,771"
Advances are net of provisions,"Advances are net of provisions,Advances are net of provisions,Advances are net of provisions"
Premises (including land),"Gross block,At cost on 31 March of the preceding year,18,910,701,18,258,591"
Premises (including land),"Gross block,Additions during the year,1,745,137,737,974"
Premises (including land),"Gross block,Deductions during the year,(98,160),(85,864)"
Premises (including land),"Gross block,Total,20,557,678,18,910,701"
Premises (including land),"Depreciation,As at 31 March of the preceding year,6,375,942,5,816,393"
Premises (including land),"Depreciation,Charge for the year,664,821,634,858"
Premises (including land),"Depreciation,On deductions during the year,(93,299),(75,309)"
Premises (including land),"Depreciation,Total,6,947,464,6,375,942"
Premises (including land),"Net block,Net block,13,610,214,12,534,759"
Other fixed assets (including furniture and fixtures),"Gross block,At cost on 31 March of the preceding year,117,016,137,105,848,358"
Other fixed assets (including furniture and fixtures),"Gross block,Additions during the year,16,985,088,16,378,259"
Other fixed assets (including furniture and fixtures),"Gross block,Deductions during the year,(2,898,680),(5,210,480)"
Other fixed assets (including furniture and fixtures),"Gross block,Total,131,102,545,117,016,137"
Other fixed assets (including furniture and fixtures),"Depreciation,As at 31 March of the preceding year,83,282,338,76,092,185"
Other fixed assets (including furniture and fixtures),"Depreciation,Charge for the year,13,182,661,12,139,660"
Other fixed assets (including furniture and fixtures),"Depreciation,On deductions during the year,(2,747,871),(4,949,507)"
Other fixed assets (including furniture and fixtures),"Depreciation,Total,93,717,128,83,282,338"
Other fixed assets (including furniture and fixtures),"Net block,Net block,37,385,417,33,733,799"
Assets on lease (plant and machinery),"Gross block,At cost on 31 March of the preceding year,4,546,923,4,546,923"
Assets on lease (plant and machinery),"Gross block,Additions during the year,-,-"
Assets on lease (plant and machinery),"Gross block,Total,4,546,923,4,546,923"
Assets on lease (plant and machinery),"Depreciation,As at 31 March of the preceding year,4,104,467,4,104,467"
Assets on lease (plant and machinery),"Depreciation,Charge for the year,-,-"
Assets on lease (plant and machinery),"Depreciation,Total,4,104,467,4,104,467"
