Schedule,As at 31-Mar-21,As at 31-Mar-20
Capital,1,"5,483,286"
Reserves and surplus,2,"1,704,377,008"
Deposits,3,"11,475,022,947"
Borrowings,4,"1,446,285,372"
Other liabilities and provisions,5,"673,943,976"
Total,,"15,305,112,589"
Cash and balances with Reserve Bank of India,6,"722,051,210"
Balances with banks and money at call and short notice,7,"144,135,970"
Investments,8,"3,918,266,581"
Advances,9,"9,937,028,781"
Fixed assets,10,"44,319,155"
Other assets,11,"539,310,892"
Total,,"15,305,112,589"
Contingent liabilities,12,"11,289,534,044"
Bills for collection,,"515,849,020"
