Particulars,Particulars,"Quarter ended March 31,2020 Total Total","Quarter ended March 31,2020 Total Total","Quarter ended December 31,2019 Total Total","Quarter ended December 31,2019 Total Total","Quarter ended September 30,2019 Total Total","Quarter ended September 30,2019 Total Total","Quarter ended June 30,2019 Total Total","Quarter ended June 30,2019 Total Total"
,,unweighted value (average)*,"weighted unweighted value (average)* 281,400.84",value (average)*,value (average)*,weighted unweighted value (average)*,weighted unweighted value (average)*,value (average)*,weighted value (average)*
1 2,Total High Quality Liquid Assets (HQLA) Retail deposits and deposits from,,,,"276,928.43",,"253,440.66",,"225,515.60"
,"small business customers,of which:","679,608.08","60,624.61","663,427.11","61,722.61","613,920.13","56,976.14","580,808.20","53,857.85"
1,Stable deposits,"146,723.83","7,336.19","92,402.01","4,620.11","88,317.44","4,415.87","84,459.31","4,222.96"
(ii) 3,"Less stable deposits Unsecured wholesale funding, of","532,884.25 304,344.42","53,288.42 172,804.61","571,025.10 281,082.43","57,102.50 161,380.77","525,602.69 266,629.81","52,560.27 154,200.50","496,348.89 251,528.82","49,634.89 144,006.73"
,which: Operational deposits (all,"42,366.96","10,444.47","34,686.67","8,597.58","31,496.13","7,800.30",,
@ (ii),counterparties) Non-operational deposits (all,,"151,896.47","238,057.41","144,444.84","226,600.14","137,866.76","34,903.88","8,651.04"
,counterparties),"251,513.79",,,,,,"207,750.30","126,481.05"
4,li) Unsecured debt Secured wholesale funding,"10,463.67","10,463.67 3,792.62","8,338.35","8,338.35 874.87","8,533.54","8,533.44 7,397.92","8,874.64","8,874.64"
5,"Additional requirements,of which","113,635.81","65,326.40","110,281.91","62,648.74","96,419.47","65,085.57","95,759.03","7,397.92 64,300.46"
@,Outflows related toderivative,"57,080.24","57,080.24","54,957.64","54,957.63","56,818.08","56,818.07","55,710.21","55,710.21"
(i),exposuresand othercollateral requirement Outflows related to loss offunding on,,,,,,,,
(i),debt products Creditand liquidity facilities,"56,555.57","8,246.16",=,-,-,-,-,
6,Other contractual funding obligation,"19,175.58","19,175.58","55,324.27 13,698.21","7,691.11 13,698.21","39,601.39 17,492.56","8,267.50 17,492.57","40,048.82","8,590.25"
7,Other contingent funding obligations,"78,141.66","2,344.25","73,360.81","2,200.83","72,616.20","2,178.49","17,106.30 71,632.78","17,106.30"
8,Total Cash Outflows,,"324,068.07",,"302,526.03",,"303,331.19",,"2,148.98"
,Secured lending (e.g.reverse repo),,-,,-,,-,,"288,818.24"
,10Inflows from fully performing,"66,199.09","35,402.81","64,887.50","34,429.38","68,415.09","37,644.26","64,170.94","34,634.66"
,exposures 11Other cash inflows,,,,,,,,
,12 Total Cash Inflows,"83,565.18 149,764.27","75,800.89 111,203.70","76,947.14 141,834.64","69,971.85 104,401.23","80,699.85 149,114.94","73,867.50 111,511.76","80,255.71 144,426.65","74,079.86 108,714.52"
,,,Total,,Total,,Total,,Total
,,,Adjusted Value,,Adjusted Value,,Adjusted Value,,Adjusted Value
13 TOTAL HQLA,,,"281,400.84",,"276,928.43",,"253,440.66",,"225,515.60"
,14 Total Net Cash Outflows,,"212,864.38",,"198,124.80",,"191,819.43",,"180,103.72"
,15 Liquidity Coverage Ratio(%),,132.20%,,139.77%,,132.12%,,125.21%
