Schedule,As at 31-Mar-21,As at 31-Mar-20
Capital,1,"5512776,5483286"
Reserves and surplus,2,"2031695513,1704377008"
Deposits,3,"13350602208,11475022947"
Borrowings,4,"1354873236,1446285372"
Other liabilities and provisions,5,"726021504,673943976"
Total,,"17468705237,15305112589"
Cash and balances with Reserve Bank of India,6,"973407363,722051210"
Balances with banks and money at call and short notice,7,"221296594,144135970"
Investments,8,"4437282921,3918266581"
Advances,9,"11328366309,9937028781"
Fixed assets,10,"49093169,44319155"
Other assets,11,"459258881,539310892"
Total,,"17468705237,15305112589"
Contingent liabilities,12,"9710975961,11289534044"
Bills for collection,,"447481440,515849020"
