"As at March 31, 2021",1 day,2 to 7 days,8 to 14 days,15 to 30 days,31 days to2 months,2 months,Over 3 months to6,Over 6 months to 1year,Over 1 year to 3 years,Over 3 years to 5 years,Over 5 years,Total,
"As at March 31, 2021",1 day,2 to 7 days,8 to 14 days,15 to 30 days,31 days to2 months,2 months,Over 3 months to6,Over 6 months to 1year,Over 1 year to 3 years,Over 3 years to 5 years,Over 5 years,Total,to3
Loans &advances,"9,900.05 20,452.08",,"10,506.09","44,857.71","49,736.96","months 48,183.51",months,,,"96,978.08 109,238.00 483,407.07 123,428.17 136,148.911,132,836.63",,,
Investments,"112,341.38 43,161.08",,"4,382.04","5,714.46","9,820.26","9,528.83",,"16,545.14 23,695.50 144,222.12",,,,"9,065.84 65,251.65443,728.30",
Deposits,,"13,684.11 70,664.28 40,914.97 30,083.61",,,,,,,,,,"50,474.48 6,695.3378,391.96 91,952.08 532,038.9414,701.27 375,459.191,335,060.22",
Borrowings,,"258.2636,992.20","1,207.28",4，011.50,"7,153.92","2,751.16","11,238.59",,"10,202.85 38,696.56","8,275.00","14,700.00","135,487.32",
Foreign currency assets,"13,495.91","12,932.26","2,992.89","13,794.28","4,609.15","5,091.85","11,792.57","4,328.34","6,159.55","1,009.88",262.38,"76,469.06",
Foreign currency liabilities,"1,708.832,839.29",,"1,998.94","4,627.61","4,122.61","3,216.50","7,835.14","6,589.03","7,514.11",872.68,"7,042.73","48,367.47",
"As at March 31, 2020",1 day,2 to7 days,8 to 14 days,15 to 30 days,31 days to2 months,2 months to3,Over 3 months to 6,Over 6 months to 1 year,Over 1 year to 3 years,Over 3 years to 5years,Over 5 years,Total,
Loans &advances,,"12,722.61 18,099.10",,,,months,months,"9,557.6639,190.5343,819.1343,795.0292,951.14105,649.35413,729.18101036.33113,152.83932.8",,,,,
Investments,"77,686.21","72,070.41","7,769.36",,"17,119.26 27,089.49","16,297.62",,,"18,004.39 23,003.06 76,309.73",,,"9,106.8947,370.24391826.66",
Deposits,"12,155.87","81,253.28 25,576.42",,"32,137.36","42,663.01","41,246.82",,,"72,352.7698,470.17 429,557.14",,,"14,631.23 297,458.23 1,147,502.29",
Borrowings,,"52.7354,615.20",,"1,633.3812,036.07","6,240.38","5,286.05","4,351.60",,"7,134.38 18,571.75",,,"8,800.0025,907.00144,628.54",
Foreign currency assets,"9,357.92","8,717.05","3,364.26","9,485.24","5,983.83","4,854.08","6,637.88","7,413.61","3,795.55","1,007.66",76.72,"60,693.80",
Foreign currency liabilities,"1,442.61","4,349.35","2,406.31","7,370.43","7,876.25","7,081.26","6,636.89","8,142.49","8,124.43",,"1,120.0310,607.72","65,157.77",
