Particulars,"March 31, 2021",Particulars,Particulars,Particulars,Particulars,Particulars
"March 31, 2021",,,,,,
Opening balance of technical / prudential write-offs,,,,,,
Technical / prudential write-offs during the year,,,,,,
Recoveries made from previously technically / prudentially written-off accounts during the year,,,,,,
Closing balance of technical / prudential write-offs,,,,,,
Particulars,"March 31, 2021",Particulars,Particulars,Particulars,Particulars,Particulars
"March 31, 2021",,,,,,
Opening balance of technical / prudential write-offs,,,,,,
Technical / prudential write-offs during the year,,,,,,
Recoveries made from previously technically / prudentially written-off accounts during the year,,,,,,
Closing balance of technical / prudential write-offs,,,,,,
Particulars,"March 31, 2021","March 31,2020",Particulars,Particulars,Particulars,Particulars
"March 31, 2021",,,,,,
Opening balance of technical / prudential write-offs,,,,,,
Technical /prudential write-offs during the year,,,,,,
Recoveries made from previously technically/prudentially written-off accounts during the year,,,,,,
Closing balance of technical /prudential write-offs,,,,,,
