Schedule,Year ended 31-Mar-21,Year ended 31-Mar-20
I. INCOME,Interest earned,"1,285,523,933,1,221,892,915"
I. INCOME,Other income,"273,328,803,248,789,748"
I. INCOME,Total,"1,558,852,736,1,470,682,663"
II. EXPENDITURE,Interest expended,"592,475,799,621,374,216"
II. EXPENDITURE,Operating expenses,"350,012,568,330,360,555"
II. EXPENDITURE,Provisions and contingencies [Refer Schedule 18 (15)],"297,796,688,245,985,239"
II. EXPENDITURE,Total,"1,240,285,055,1,197,720,010"
III. PROFIT,Net profit for the year,"318,567,681,272,962,653"
III. PROFIT,Less : Minority interest,"235,590,423,147"
III. PROFIT,Consolidated profit for the year,"318,332,091,272,539,506"
III. PROFIT,Balance in the Profit and Loss Account brought forward,"618,176,878,528,496,075"
III. PROFIT,Total,"936,508,969,801,035,581"
IV. APPROPRIATIONS,Transfer to Statutory Reserve,"78,796,978,67,717,167"
IV. APPROPRIATIONS,Tax (including cess) on dividend,"-,902,672"
IV. APPROPRIATIONS,"Dividend (including tax / cess thereon) pertaining to previous year paid during the year, net of dividend tax credits","-,48,933,585"
IV. APPROPRIATIONS,Interim Dividend (including tax),"-,16,469,504"
IV. APPROPRIATIONS,Transfer to General Reserve,"31,116,525,26,257,315"
IV. APPROPRIATIONS,Transfer to Capital Reserve,"22,916,842,11,238,460"
IV. APPROPRIATIONS,Transfer to / (from) Investment Reserve Account,"616,645,-"
IV. APPROPRIATIONS,Transfer to / (from) Investment Fluctuation Reserve,"17,120,000,11,340,000"
IV. APPROPRIATIONS,Balance carried over to Balance Sheet,"785,941,979,618,176,878"
IV. APPROPRIATIONS,Total,"936,508,969,801,035,581"
V. EARNINGS PER EQUITY SHARE (Face value ₹ 1 per share),Basic,"57.88,49.84"
V. EARNINGS PER EQUITY SHARE (Face value ₹ 1 per share),Diluted,"57.61,49.46"
Significant accounting policies and notes to the Consolidated financial statements,17 & 18,"The schedules referred to above form an integral part of the Consolidated Profit and Loss Account.,"
