GRI Standard,Disclosure,Description,Page Number(s) and/ or URL(s)
GRI 102: GENERAL DISCLOSURES,GRI 102: GENERAL DISCLOSURES,GRI 102: GENERAL DISCLOSURES,GRI 102: GENERAL DISCLOSURES
Organisational,,,
profile,102-1,Name of the organisation.,10
,102-2,"Activities, brands, products,and services",10
,102-3,Location of headquarters,https://www.hdfc.com/ corporate-office
,102-4,Location of operations,"12-13,358-359"
,102-5,Ownership and legal form,"10,354"
,102-6,Markets served,12-13
,102-7,Scale of the organisation,12-13
,102-8,Information on employees and other workers,83-85
,102-9,Supply chain,26-31
,102-10,Significant changes to the organisation and its supply chain,26-31
,102-11,Precautionary Principle or approach,60-69
,102-12 102-13,External initiatives,88-99
,,Membership of associations,Business Responsibility Report （p.14)
Strategy,,,
,102-14,Statement from senior decision-maker,20-23
,102-15,"Key impacts, risks,and opportunities",20-23
Ethics and,,,
integrity,102-16,"Values,principles, standards,and norms of behaviour Mechanisms for advice and concerns about ethics","2-3,332"
Governance,102-17,,"104-107,332,349,353"
,102-18,Governance structure,332
,102-19,Delegating authority,340
,102-20,"Executive-level responsibility for economic,",340-345
,102-21,"environmental,and social topics Consulting stakeholders on economic, environmental,",
,,and social topics,32-37
,102-22,Composition of the highest governance body and its committees,332-345
,102-23,Chair of the highest governance body,333
,102-24,Nominating and selecting the highest governance body,"333-337,349-350"
,102-25,Conflicts of interest,349
,102-26,"Role of highest governance body in setting purpose, values,and strategy",332
,102-27,Collective knowledge of highest governance body,351-352
,102-28,Evaluating the highest governance body's performance,151
,102-29,"Identifying and managing economic,environmental, and social impacts",34-37
,102-30,Effectiveness of risk management processes,141-144
,102-31,"Review of economic,environmental,and social topics",34-37
,102-32,Highest governance body's role in sustainability reporting,"104-107, 344"
,102-33,Communicating critical concerns,"152-153,340-345"
,102-34,Nature and total number of critical concerns,152-153
,102-35,Remuneration policies,"151-152, 242"
,102-36,Process for determining remuneration,"151-152,242"
