1,（2),（2),（3),（3),（4）,（5),（6,（7) （8,
Sl,SI.Name of theNo.Project,SI.Name of theNo.Project,Item from thelistof activities in,Item from thelistof activities in,Localarea(Yes/,Location of the project,Amountspent forthe Project-Direct (Yes/No)( crore),Modeof Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,
No.,SI.Name of theNo.Project,SI.Name of theNo.Project,Item from thelistof activities in,Item from thelistof activities in,Localarea(Yes/,Location of the project,Amountspent forthe Project-Direct (Yes/No)( crore),Modeof Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,Project
,,,schedule Vll to,schedule Vll to,Localarea(Yes/,Location of the project,Amountspent forthe Project-Direct (Yes/No)( crore),Modeof Mode of ImplementationImplementation -Through Implementingthe Project-Direct (Yes/No) Agency,
,,,the Act,the Act,No）,State District,Amountspent forthe Project-Direct (Yes/No)( crore),,
,,,,,,State District,Amountspent forthe Project-Direct (Yes/No)( crore),,
,,,,,,State District,Amountspent forthe Project-Direct (Yes/No)( crore),Name CSRRegistrationnumber,
,,,,,,State District,Amountspent forthe Project-Direct (Yes/No)( crore),Name CSRRegistrationnumber,
26,26COVID Relief,26COVID Relief,Preventive,Preventive,Yes,Maharashtra Mumbai,0.05,No Setu NACharitableTrust,
,,,and CurativeHealthcare,and CurativeHealthcare,,Maharashtra Mumbai,0.05,No Setu NACharitableTrust,
,,,()/ DisasterManagement (i),()/ DisasterManagement (i),,Maharashtra Mumbai,0.05,No Setu NACharitableTrust,
27,27COVID Relief,27COVID Relief,Preventive,Preventive,Yes,Maharashtra Mumbai,0.75,No National NAHealth andEducationSociety,
,,,and Curative,and Curative,,,0.75,No National NAHealth andEducationSociety,
,,,Healthcare,Healthcare,,,0.75,No National NAHealth andEducationSociety,
,,,Healthcare,Healthcare,,,0.75,No National NAHealth andEducationSociety,
,,,()/DisasterManagement (xii),()/DisasterManagement (xii),,,0.75,No National NAHealth andEducationSociety,
,,,()/DisasterManagement (xii),()/DisasterManagement (xii),,,0.75,No National NAHealth andEducationSociety,
28,28Rehabiliation,28Rehabiliation,Preventive,Preventive,Yes,Kerala Thrissur,0.25,No Solace NA,
,for Children with,for Children with,and CurativeHealthcare (),and CurativeHealthcare (),,Kerala Thrissur,0.25,No Solace NA,
,Disabilty,Disabilty,and CurativeHealthcare (),and CurativeHealthcare (),,Kerala Thrissur,0.25,No Solace NA,
29,29Maternal,29Maternal,Preventive,Preventive,Yes,Rajasthan Udaipur,0.04,No DevelopmentCSR00003335InnovationFoundation,
,Healthcare,Healthcare,and CurativeHealthcare (),and CurativeHealthcare (),,Rajasthan Udaipur,0.04,No DevelopmentCSR00003335InnovationFoundation,
,,,and CurativeHealthcare (),and CurativeHealthcare (),,Rajasthan Udaipur,0.04,No DevelopmentCSR00003335InnovationFoundation,
30,30COVID Relief,30COVID Relief,Preventive,Preventive,Yes,Uttar Pradesh Lucknow,0.25,No AHEAD NA,
,,,and CurativeHealthcare,and CurativeHealthcare,,Uttar Pradesh Lucknow,0.25,No AHEAD NA,
,,,()/DisasterManagement (ii),()/DisasterManagement (ii),,Uttar Pradesh Lucknow,0.25,No AHEAD NA,
31,31 COVID Relief,31 COVID Relief,Preventive,Preventive,Yes,Maharashtra Mumbai,4.00,No Mumbai NAPoliceFoundation,
,,,and CurativeHealthcare,and CurativeHealthcare,,Maharashtra Mumbai,4.00,No Mumbai NAPoliceFoundation,
,,,()/DisasterManagement (xii),()/DisasterManagement (xii),,Maharashtra Mumbai,4.00,No Mumbai NAPoliceFoundation,
32,32COVID Relief,32COVID Relief,Preventiveand CurativeHealthcare,Preventiveand CurativeHealthcare,Yes,Gujarat Ahmedabad,0.99,No Yuva CSR00000473Unstoppable,
