Sr.No.,Particulars,March 31, 2021,March 31, 2020
(i),Direct investments made in equity shares, convertible bonds, convertible debentures and units of equity oriented mutual funds the corpus of which is not exclusively invested in corporate debt,"6,247.22","1,625.14"
(ii),Advances against shares, bonds, debentures or other securities or on clean basis to individuals for investment in shares (including IPO's / ESOP's), convertible bonds,"convertible debentures and units of equity oriented mutual funds,143.97,172.30"
(iii),Advances for any other purposes where shares or convertible bonds or convertible debentures or units of equity oriented mutual funds are taken as primary security,"5,156.29","5,145.02",,
(iv),Advances for any other purposes to the extent secured by collateral security of shares or convertible bonds or convertible debentures or units of equity oriented mutual funds i.e. where the primary security other than shares / convertible bonds / convertible debentures / units of equity oriented mutual funds does not fully cover the advances,423.41,787.94,,
(v),Secured and unsecured advances to stock brokers and guarantees issued on behalf of stock brokers and market makers,"9,875.78","10,045.51",,
(vi),Loans sanctioned to corporates against the security of shares / bonds / debentures or other securities or on clean basis for meeting promoter's contribution to the equity of new companies in anticipation of raising resources,"4,154.34","1,220.47",,
(vii),Bridge loans to companies against expected equity flows / issues,-,-,,
(viii),Underwriting commitments taken up in respect of primary issue of shares or convertible bonds or convertible debentures or units of equity oriented mutual funds,-,-,,
(ix),Financing to stock brokers for margin trading,-,-,,
(x),All exposures to venture capital funds (both registered and unregistered),12.49,10.55,,
Total exposure to capital market,"26,013.50","19,006.93",,,
