Sr.No.,Particulars,Treasury,Retail banking,Wholesale banking,Other banking operations,Total
1,Segment revenue,"26,558.44","107,999.94","61,134.45","19,033.41","214,726.24"
2,Unallocated revenue,,,,,2.19
3,Less: Inter-segment revenue,,,,,"-76,654.96"
4,Income from operations (1) + (2) - (3),,,,,"138,073.47"
5,Segment results,"3,462.77","12,942.46","14,121.09","7,784.63","38,310.95"
6,Unallocated expenses,,,,,"-1,703.79"
7,Income tax expense (including deferred tax),,,,,"-10,349.84"
8,Net profit (5) - (6) - (7),,,,,"26,257.32"
9,Segment assets,"457,240.91","484,270.74","520,567.01","60,500.57","1,522,579.23"
10,Unallocated assets,,,,,"7,932.03"
11,Total assets (9) + (10),,,,,"1,530,511.26"
12,Segment liabilities,"102,012.09","907,258.10","317,628.87","5,032.43","1,331,931.49"
13,Unallocated liabilities,,,,,"-27,593.74"
14,Total liabilities (12) + (13),,,,,"1,359,525.23"
15,Capital employed (9) - (12) (Segment assets - Segment liabilities),"355,228.82","-422,987.36","202,938.14","55,468.14","190,647.74"
16,Unallocated (10) - (13),,,,,"-19,661.71"
17,Total (15) + (16),,,,,"170,986.03"
18,Capital expenditure,43.29,"1,381.75",119.49,80.50,"1,625.03"
19,Depreciation,32.79,938.71,126.71,97.64,"1,195.85"
20,Provisions for non - performing assets / others*,,"6,632.33","3,756.44","1,725.92","12,122.19"
21,Unallocated other provisions*,,,,,20.20
