川,(2),(3),(4),(5),(6),(7),（8)
sI,Name of theNo.Project,Item from the listof activities inschedule Vll tothe Act,Localarea(Yes/No）,Location of the project,Amountthe Project-Direct(Yes/No)(crore),Mode of Mode of Implementationspent for Implementation - Through Implementingthe Project-Direct(Yes/No) Agency,Mode of Mode of Implementationspent for Implementation - Through Implementingthe Project-Direct(Yes/No) Agency
sI,Name of theNo.Project,Item from the listof activities inschedule Vll tothe Act,Localarea(Yes/No）,State District,Amountthe Project-Direct(Yes/No)(crore),Name CSRRegistrationnumber,Name CSRRegistrationnumber
,53HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra Nashik,1.23,No,Sanjeevani CSR00000270Institute forEmpowerment&Development
54,54HRDP,RuralDevelopmentProjects (x),Yes,Madhya Pradesh Betul,0.18,No,BAIF CSR00000308DevelopmentResearchFoundation
,54HRDP,RuralDevelopmentProjects (x),Yes,Madhya Pradesh Betul,0.18,No,BAIF CSR00000308DevelopmentResearchFoundation
55HRDP,55HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra Nagpur,0.14,No,BAIF CSR00000308DevelopmentResearchFoundation
,,RuralDevelopmentProjects (x),Yes,Maharashtra Nagpur,0.14,No,BAIF CSR00000308DevelopmentResearchFoundation
56,56HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra Bhandara,0.25,No,BAIF CSR00000308DevelopmentResearchFoundation
,56HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra Bhandara,0.25,No,BAIF CSR00000308DevelopmentResearchFoundation
57HRDP,57HRDP,RuralDevelopmentProjects (x),Yes,Maharashtra Bhandara,0.15,No,BAIF CSR00000308DevelopmentResearchFoundation
58 HRDP,58 HRDP,RuralDevelopmentProjects (x),Yes,Bihar Samastipur,0.70,No,Aga Khan CSR00004229Rural SupportProgrammeIndia
59HRDP,59HRDP,RuralDevelopmentProjects (x),Yes,Bihar Muzaffarpur,0.82,No,Aga Khan CSR00004229Rural SupportProgrammeIndia
60HRDP,60HRDP,RuralDevelopmentProjects (x),Yes,Bihar Darbhanga,1.62,No Aga Khan CSR00004229Rural SupportProgrammeIndia,No Aga Khan CSR00004229Rural SupportProgrammeIndia
61,HRDP,RuralDevelopmentProjects (x),Yes,Jharkhand Paschim Singhbhum,1.72,No,No Network for CSR00002858EnterpriseEnhancementandDevelopmentSupport(NEEDS)
,HRDP,RuralDevelopmentProjects (x),Yes,Jharkhand Paschim Singhbhum,1.72,,No Network for CSR00002858EnterpriseEnhancementandDevelopmentSupport(NEEDS)
62 HRDP,62 HRDP,RuralDevelopmentProjects (x),Yes,Assam Lakhimpur,1.09,No Indo Global CSR00001677Social ServiceSociety(IGSSS),No Indo Global CSR00001677Social ServiceSociety(IGSSS)
62 HRDP,,RuralDevelopmentProjects (x),Yes,Assam Lakhimpur,1.09,No Indo Global CSR00001677Social ServiceSociety(IGSSS),No Indo Global CSR00001677Social ServiceSociety(IGSSS)
63,63HRDP,RuralDevelopmentProjects (x),Yes,Assam Darang,0.20,No FXB India CSR00000076Suraksha,No FXB India CSR00000076Suraksha
,63HRDP,RuralDevelopmentProjects (x),Yes,Assam Darang,0.20,No FXB India CSR00000076Suraksha,No FXB India CSR00000076Suraksha
64,64HRDP,RuralDevelopmentProjects (x),Yes,Meghalaya Ri-Bhoi,0.47,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth
,64HRDP,RuralDevelopmentProjects (x),Yes,Meghalaya Ri-Bhoi,0.47,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth
65HRDP,65HRDP,RuralDevelopment,Yes,"Punjab Ludhiana, Moga",2.09,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth
65HRDP,,Projects (x),Yes,"Punjab Ludhiana, Moga",2.09,No Society for CSR00000283Action inCommunityHealth,No Society for CSR00000283Action inCommunityHealth
