Sl. No.,Name of the Project,Item from the list of activities in schedule VII to the Act,Local area (Yes/No)
53,HRDP,Rural Development Projects (x),Yes
54,HRDP,Rural Development Projects (x),Yes
55,HRDP,Rural Development Projects (x),Yes
56,HRDP,Rural Development Projects (x),Yes
57,HRDP,Rural Development Projects (x),Yes
58,HRDP,Rural Development Projects (x),Yes
59,HRDP,Rural Development Projects (x),Yes
60,HRDP,Rural Development Projects (x),Yes
61,HRDP,Rural Development Projects (x),Yes
62,HRDP,Rural Development Projects (x),Yes
63,HRDP,Rural Development Projects (x),Yes
64,HRDP,Rural Development Projects (x),Yes
65,HRDP,Rural Development Projects (x),Yes
