Sr.No.,Name,Designation,Expertise
1,Sashidhar Jagdishan,Managing Director & Chief Executive Officer,"Economics of Money, Banking and Finance, Accountancy"
2,Kaizad Bharucha,Executive Director,"Banking Business, Credit & Risk Management"
3,Srikanth Nadhamuni,Non-Executive Director,Information technology
4,Renu Karnad,Non-Executive Director,"Risk Management, Housing & Real Estate, Financial, Accounting & Audit, Information Technology, Cyber Security, Consumer Behaviour, Sales & Marketing, Legal and Strategy Management"
5,Sanjiv Sachar,Independent Director,Human Resource Management and Finance
6,Malay Patel,Independent Director,Small Scale Industries
7,Umesh Chandra Sarangi,Independent Director,Agriculture and Rural Economy
8,Sandeep Parekh,Independent Director,Law (with focus on securities market and financial regulations)
9,M.D. Ranganath,Independent Director,"Finance, Information Technology and Risk Management"
10,Dr. (Ms.) Sunita Maheshwari,Additional Independent Director,"Medicine, healthcare, entrepreneurship, general administration, small scale industries"
11,Mr. Atanu Chakraborty,Part-time Non-Executive Chairman and Additional Independent Director,"Finance, Economy, Public Policy, Administration and Infrastructure"
