Sr. Contingent liability*No.,Sr. Contingent liability*No.,Sr. Contingent liability*No.,Brief description,
1 Claims against the Group notacknowledged as debts -taxation,1 Claims against the Group notacknowledged as debts -taxation,1 Claims against the Group notacknowledged as debts -taxation,"The Group is a party to various taxation matters in respect of which appealsare pending.The Group expects the outcome of the appeals to be favorablebased on decisions on similar issues in the previous years by the appellateauthorities,based on the facts of the case and taxation laws.",
2 Claims against the Group notacknowledgedas debts-others,2 Claims against the Group notacknowledgedas debts-others,2 Claims against the Group notacknowledgedas debts-others,"The Group is a party to various legal proceedings in the normal course ofbusiness. The Group does not expect the outcome of these proceedings tohave a material adverse effect on the Group's financial conditions,results ofoperations or cash flows.",
2 Claims against the Group notacknowledgedas debts-others,2 Claims against the Group notacknowledgedas debts-others,2 Claims against the Group notacknowledgedas debts-others,"The Group is a party to various legal proceedings in the normal course ofbusiness. The Group does not expect the outcome of these proceedings tohave a material adverse effect on the Group's financial conditions,results ofoperations or cash flows.",
3,3,Liability on account of forward,"The Group enters into foreign exchange contracts,currency options,forwardrate agreements,currency swaps and interest rate swaps with inter-bankparticipants on its own account and for customers. Forward exchangecontracts are commitments to buy or sell foreign currency at a future dateat the contracted rate.Currency swaps are commitments to exchange cashflows by way of interest/ principal in one currency against another，basedon predetermined rates.Interest rate swaps are commitments to exchangefixed and floating interest rate cash flows.The notional amounts of financial",
exchange and derivative contracts,exchange and derivative contracts,exchange and derivative contracts,"The Group enters into foreign exchange contracts,currency options,forwardrate agreements,currency swaps and interest rate swaps with inter-bankparticipants on its own account and for customers. Forward exchangecontracts are commitments to buy or sell foreign currency at a future dateat the contracted rate.Currency swaps are commitments to exchange cashflows by way of interest/ principal in one currency against another，basedon predetermined rates.Interest rate swaps are commitments to exchangefixed and floating interest rate cash flows.The notional amounts of financial",
,,,"The Group enters into foreign exchange contracts,currency options,forwardrate agreements,currency swaps and interest rate swaps with inter-bankparticipants on its own account and for customers. Forward exchangecontracts are commitments to buy or sell foreign currency at a future dateat the contracted rate.Currency swaps are commitments to exchange cashflows by way of interest/ principal in one currency against another，basedon predetermined rates.Interest rate swaps are commitments to exchangefixed and floating interest rate cash flows.The notional amounts of financial",
,,,"The Group enters into foreign exchange contracts,currency options,forwardrate agreements,currency swaps and interest rate swaps with inter-bankparticipants on its own account and for customers. Forward exchangecontracts are commitments to buy or sell foreign currency at a future dateat the contracted rate.Currency swaps are commitments to exchange cashflows by way of interest/ principal in one currency against another，basedon predetermined rates.Interest rate swaps are commitments to exchangefixed and floating interest rate cash flows.The notional amounts of financial",on predetermined rates.Interest rate swaps are commitments to exchange
,,,"The Group enters into foreign exchange contracts,currency options,forwardrate agreements,currency swaps and interest rate swaps with inter-bankparticipants on its own account and for customers. Forward exchangecontracts are commitments to buy or sell foreign currency at a future dateat the contracted rate.Currency swaps are commitments to exchange cashflows by way of interest/ principal in one currency against another，basedon predetermined rates.Interest rate swaps are commitments to exchangefixed and floating interest rate cash flows.The notional amounts of financial",fixed and floating interestrate cash
,,,"instruments such as foreign exchange contracts and derivatives provide abasis for comparison with instruments recognised on the Balance Sheet butdo not necessarily indicate the amounts of future cash flows involved or thecurrent fair value of the instruments and, therefore,do not indicate the Bank'sexposure to credit or price risks.The derivative instruments become favorable(assets) or unfavorable (liabilities) as a result of fluctuations in market rates orprices relative to their terms.",
,,,"instruments such as foreign exchange contracts and derivatives provide abasis for comparison with instruments recognised on the Balance Sheet butdo not necessarily indicate the amounts of future cash flows involved or thecurrent fair value of the instruments and, therefore,do not indicate the Bank'sexposure to credit or price risks.The derivative instruments become favorable(assets) or unfavorable (liabilities) as a result of fluctuations in market rates orprices relative to their terms.",basis forcomparison with instrume
,,,"instruments such as foreign exchange contracts and derivatives provide abasis for comparison with instruments recognised on the Balance Sheet butdo not necessarily indicate the amounts of future cash flows involved or thecurrent fair value of the instruments and, therefore,do not indicate the Bank'sexposure to credit or price risks.The derivative instruments become favorable(assets) or unfavorable (liabilities) as a result of fluctuations in market rates orprices relative to their terms.",do not necessarily indicate the amounts of future cash flows involved or the
"4 Guarantees given on behalfof constituents,acceptances,","4 Guarantees given on behalfof constituents,acceptances,","4 Guarantees given on behalfof constituents,acceptances,","As a part of its commercial banking activities, the Bank issues documentarycredit and guarantees on behalf of its customers.Documentary credits suchas letters of credit enhance the credit standing of the Bank's customers.Guarantees generally represent irrevocable assurances that the Bank wilmake payments in the event of the customer failing to fulfill its financial orperformance obligations.",
"4 Guarantees given on behalfof constituents,acceptances,","4 Guarantees given on behalfof constituents,acceptances,","4 Guarantees given on behalfof constituents,acceptances,","As a part of its commercial banking activities, the Bank issues documentarycredit and guarantees on behalf of its customers.Documentary credits suchas letters of credit enhance the credit standing of the Bank's customers.Guarantees generally represent irrevocable assurances that the Bank wilmake payments in the event of the customer failing to fulfill its financial orperformance obligations.",credit and guarantees on behalf of its customers.Documentary credits such
endorsements and other obligations,endorsements and other obligations,endorsements and other obligations,"As a part of its commercial banking activities, the Bank issues documentarycredit and guarantees on behalf of its customers.Documentary credits suchas letters of credit enhance the credit standing of the Bank's customers.Guarantees generally represent irrevocable assurances that the Bank wilmake payments in the event of the customer failing to fulfill its financial orperformance obligations.",
5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,
5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,5 Other items for which the Group is These include:a) Credit enhancements in respect of securitised-out loans;contingently liable b)Bills rediscounted by the Bank; c) Capital commitments; d) Underwritingcommitments；e) Investment purchases pending settlement；f) Amounttransferred to the RBl under the Depositor Education and Awareness Fund(DEAF).,transferred to the RBl under the Depositor Education and Awareness Fund
