GRI Standard,Disclosure,Description,Page Number(s) and/or URL(s)
GRI 400: SOCIAL,Employment,Explanation of the material topic and its Boundary,80-87
GRI 400: SOCIAL,Employment,The management approach and its components,"58-59, 107"
GRI 400: SOCIAL,Employment,Evaluation of the management approach,80-87
GRI 400: SOCIAL,Employment,New employee hires and employee turnover,83-85
GRI 400: SOCIAL,Employment,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"82, 210-211"
GRI 400: SOCIAL,Employment,Parental leave,82
GRI 400: SOCIAL,Labour/Management Relations,Explanation of the material topic and its Boundary,82
GRI 400: SOCIAL,Labour/Management Relations,The management approach and its components,82
GRI 400: SOCIAL,Labour/Management Relations,Evaluation of the management approach,82
GRI 400: SOCIAL,Labour/Management Relations,Minimum notice periods regarding operational changes,82
GRI 400: SOCIAL,Occupational Health and Safety,Occupational health services,82
GRI 400: SOCIAL,Occupational Health and Safety,"Worker participation, consultation, and communication on occupational health and safety",82
GRI 400: SOCIAL,Occupational Health and Safety,Promotion of worker health,82
GRI 400: SOCIAL,Occupational Health and Safety,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,82
GRI 400: SOCIAL,Training and Education,Explanation of the material topic and its Boundary,81
GRI 400: SOCIAL,Training and Education,The management approach and its components,81
GRI 400: SOCIAL,Training and Education,Evaluation of the management approach,81
GRI 400: SOCIAL,Training and Education,Average hours of training per year per employee,81
GRI 400: SOCIAL,Training and Education,Programs for upgrading employee skills and transition assistance programs,81
GRI 400: SOCIAL,Training and Education,Percentage of employees receiving regular performance and career development reviews,81
GRI 400: SOCIAL,Diversity and Equal Opportunity,Explanation of the material topic and its Boundary,83-85
GRI 400: SOCIAL,Diversity and Equal Opportunity,The management approach and its components,83-85
GRI 400: SOCIAL,Diversity and Equal Opportunity,Evaluation of the management approach,83-85
GRI 400: SOCIAL,Diversity and Equal Opportunity,Diversity of governance bodies and employees,83-85
GRI 400: SOCIAL,Diversity and Equal Opportunity,Ratio of basic salary and remuneration of women to men,85
GRI 400: SOCIAL,Non-discrimination,Explanation of the material topic and its Boundary,"83,104-107"
GRI 400: SOCIAL,Non-discrimination,The management approach and its components,"83,104-107"
GRI 400: SOCIAL,Non-discrimination,Evaluation of the management approach,"83,104-107"
GRI 400: SOCIAL,Non-discrimination,Incidents of discrimination and corrective actions taken,83
GRI 400: SOCIAL,Freedom of Association and Collective Bargaining,Explanation of the material topic and its Boundary,82
GRI 400: SOCIAL,Freedom of Association and Collective Bargaining,The management approach and its components,82
GRI 400: SOCIAL,Freedom of Association and Collective Bargaining,Evaluation of the management approach,82
GRI 400: SOCIAL,Child Labour,Explanation of the material topic and its Boundary,82
GRI 400: SOCIAL,Child Labour,The management approach and its components,82
GRI 400: SOCIAL,Child Labour,Evaluation of the management approach,82
