Particulars,"Quarter ended March 31, 2020","Quarter ended December 31, 2019","Quarter ended September 30, 2019","Quarter ended June 30, 2019"
Total unweighted value (average)*,Total weighted value (average)*,Total unweighted value (average)*,Total weighted value (average)*,"Total unweighted value (average)*,Total weighted value (average)*"
Total High Quality Liquid Assets (HQLA),281400.84,276928.43,253440.66,225515.60
"Retail deposits and deposits from small business customers, of which:",679608.08,60624.61,663427.11,"61722.61,613920.13,56976.14,580808.20,53857.85"
(i) Stable deposits,146723.83,7336.19,92402.01,"4620.11,88317.44,4415.87,84459.31,4222.96"
(ii) Less stable deposits,532884.25,53288.42,571025.10,"57102.50,525602.69,52560.27,496348.89,49634.89"
"Unsecured wholesale funding, of which:",304344.42,172804.61,281082.43,"161380.77,266629.81,154200.50,251528.82,144006.73"
(i) Operational deposits (all counterparties),42366.96,10444.47,34686.67,"8597.58,31496.13,7800.30,34903.88,8651.04"
(ii) Non-operational deposits (all counterparties),251513.79,151896.47,238057.41,"144444.84,226600.14,137866.76,207750.30,126481.05"
(iii) Unsecured debt,10463.67,10463.67,8338.35,"8338.35,8533.54,8533.44,8874.64,8874.64"
Secured wholesale funding,3792.62,874.87,,
"Additional requirements, of which",113635.81,65326.40,110281.91,"62648.74,96419.47,65085.57,95759.03,64300.46"
(i) Outflows related to derivative exposures and other collateral requirement,57080.24,57080.24,54957.64,"54957.63,56818.08,56818.07,55710.21,55710.21"
(ii) Outflows related to loss of funding on debt products,,,,
(iii) Credit and liquidity facilities,56555.57,8246.16,55324.27,"7691.11,39601.39,8267.50,40048.82,8590.25"
Other contractual funding obligation,19175.58,19175.58,13698.21,"13698.21,17492.56,17492.57,17106.30,17106.30"
Other contingent funding obligations,78141.66,2344.25,73360.81,"2200.83,72616.20,2178.49,71632.78,2148.98"
Total Cash Outflows,324068.07,302526.03,303331.19,288818.24
Secured lending (e.g. reverse repo),,,,
Inflows from fully performing exposures,66199.09,35402.81,64887.50,"34429.38,68415.09,37644.26,64170.94,34634.66"
Other cash inflows,83565.18,75800.89,76947.14,"69971.85,80699.85,73867.50,80255.71,74079.86"
Total Cash Inflows,149764.27,111203.70,141834.64,"104401.23,149114.94,111511.76,144426.65,108714.52"
Total Adjusted Value,281400.84,276928.43,253440.66,225515.60
Total HQLA,,,,
Total Net Cash Outflows,212864.38,198124.80,191819.43,180103.72
Liquidity Coverage Ratio(%),132.20%,139.77%,132.12%,125.21%
