Particulars,"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31,2020"
Reconciliation of opening and closing balance of the present value of thedefined benefit obligation,,,,,
Present value of obligation as at April 1,,,,851.66,702.86
Present value of obligation as at April 1,,,,,702.86
Interest cost,52.16,52.16,52.16,52.16,45.10
Current service cost,114.56,114.56,114.56,114.56,102.92
Benefits paid,(49.15),(49.15),(49.15),(49.15),(58.81)
Actuarial (gain)/loss on obligation:,,,,,
Experience adjustment,41.30,41.30,41.30,41.30,16.69
Assumption change,6.69,6.69,6.69,6.69,42.90
Present value of obligation as at March 31,"1,017.22","1,017.22","1,017.22","1,017.22",851.66
Reconciliation of opening and closing balance of the fair value of the planassets,,,,,
Fair value of plan assets as at April 1,577.97,577.97,577.97,577.97,547.75
Expected return on plan assets,44.05,44.05,44.05,44.05,38.78
Contributions,138.48,138.48,138.48,138.48,109.67
Benefits paid,(49.15),(49.15),(49.15),(49.15),(58.81)
Actuarial gain /(loss) on plan assets:,107.65,107.65,107.65,107.65,
Experience adjustment,107.65,107.65,107.65,107.65,(59.42)
Assumption change,15.44,15.44,15.44,15.44,
Fair value of plan assets as at March 31,834.44,834.44,834.44,834.44,577.97
