Schedule,As at 31-Mar-21,As at 31-Mar-20
Capital,"5,512,776",
Reserves and surplus,"2,092,589,110","1,758,103,766"
Minority interest,"6,327,647","5,766,413"
Deposits,"13,337,208,758","11,462,071,336"
Borrowings,"1,776,967,487","1,868,343,231"
Other liabilities and provisions,"776,460,664","708,536,341"
Total,"17,995,066,442","15,808,304,373"
Cash and balances with Reserve Bank of India,"973,703,555","722,110,033"
Balances with banks and money at call and short notice,"239,021,709","157,291,086"
Investments,"4,388,231,117","3,893,049,519"
Advances,"11,852,835,198","10,436,708,771"
Fixed assets,"50,995,631","46,268,558"
Other assets,"490,279,232","552,876,406"
Total,"17,995,066,442","15,808,304,373"
Contingent liabilities,"9,752,806,592","11,304,740,615"
Bills for collection,"447,481,440","515,849,020"
Significant accounting policies and notes to the Consolidated financial statements,,The schedules referred to above form an integral part of the Consolidated Balance Sheet.
