GRI Standard,Disclosure,Description,Page Number(s) and/or URL(s),GRI 200: ECONOMIC,Economic Performance,Market Presence,Indirect Economic Impacts,Procurement Practices
102-37,Stakeholders' involvement in remuneration,"151-152, 242",,"23-25, 113, 124-137",Explanation of the material topic and its Boundary,Explanation of the material topic and its Boundary,Explanation of the material topic and its Boundary,Explanation of the material topic and its Boundary
102-38,Annual total compensation ratio,177-178,,"23-25, 113, 124-137",The management approach and its components,The management approach and its components,The management approach and its components,The management approach and its components
102-39,Percentage increase in annual total compensation ratio,177-178,,"23-25, 113, 124-137",Evaluation of the management approach,Evaluation of the management approach,Evaluation of the management approach,Evaluation of the management approach
102-40,List of stakeholder groups,32-33,,80-87,Ratios of standard entry level wage by gender compared to local minimum wage,Proportion of senior management hired from the local community,Infrastructure investments and services supported,Proportion of spending on local suppliers
102-41,Collective bargaining agreements,82,,80-87,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of spending on local suppliers
102-42,Identifying and selecting stakeholders,32-37,,80-87,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of spending on local suppliers
102-43,Approach to stakeholder engagement,32-37,,80-87,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of spending on local suppliers
102-44,Key topics and concerns raised,32-37,,80-87,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of senior management hired from the local community,Proportion of spending on local suppliers
102-45,Entities included in the consolidated financial statements,"148-149, 205",,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-46,Defining report content and topic Boundaries,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-47,List of material topics,34-37,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-48,Restatements of information,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-49,Changes in reporting,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-50,Reporting period,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-51,Date of most recent report,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-52,Reporting cycle,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-53,Contact point for questions regarding the report,At the end of this table,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-54,Claims of reporting in accordance with the GRI Standards,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-55,GRI content index,This table,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
102-56,External assurance,4,,"23-25, 113, 124-137",Direct economic value generated and distributed,Financial implications and other risks and opportunities due to climate change,Defined benefit plan obligations and other retirement plans,Significant indirect economic impacts
