Type of restructuring Sr.,Type of restructuring Sr.,nderCorpo Mechanism,nderCorpo Mechanism,nderCorpo Mechanism,nderCorpo Mechanism,Debt Restructuring Mechanism,Debt Restructuring Mechanism,Debt Restructuring Mechanism,Debt Restructuring Mechanism,Debt Restructuring Mechanism,Debt Restructuring Mechanism,Others,Others,Others,Others,Others,Others,Total,Total,Total,Total,Total,Total,,,,,,,,,,,,,,,,,,,,
No.,Asset Classification →,Asset Classification →,Stan- dard,Sub Stan- dard,Doubt- ful,Loss,Total,Stan- dard,Sub Stan-,Doubt- dard,Loss ful,Total,Stan- dard,Sub Stan- dard,Doubt- ful,Loss,Total,Stan- dard,Sub Stan- dard,Doubt-,ful,Loss,Total,,,,,,,,,,,,,,,,,,,,
Details ↓,No.of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restructured accounts as,,borrowers,Stan- dard,Sub Stan- dard,Doubt- ful,Loss,Total,Stan- dard,Sub Stan-,Doubt- dard,Loss ful,Total,Stan- dard,Sub Stan- dard,Doubt- ful,Loss,Total,Stan- dard,Sub Stan- dard,Doubt-,ful,Loss,Total,,,4,4,,,,,,,3,6,2,1,12,3,6,6,1,16
"at April1, 2020* 2 Fresh restructuring",,Amount outstanding Provision,,45.04,,45.04,,,,,,55.34,51.07,4.74,1.39,112.54,55.34,51.07,49.78,1.39,157.58,,,,,,,,,,,,,,,,,,,,,,
"at April1, 2020* 2 Fresh restructuring",,thereon No.of,,,,,,,,,,·,2.22,,0.02,2.24,·,2.22 729,,0.02,2.24,,,,,,,,,,,,,,,,,,,,,,
"at April1, 2020* 2 Fresh restructuring",,borrowers Amount,,,,,,,,,,,3,729,1,733,,3,,,733,,,,,,,,,,,,,,,,,,,,,,
"at April1, 2020* 2 Fresh restructuring",,outstanding Provision,,,,,,,,,,92.42,27.34 0.06,0.22,,119.98,92.42,27.34,,0.22,,119.98,,,,,,,,,,,,,,,,,,,,,
"at April1, 2020* 2 Fresh restructuring",thereon Upgradation No.of to borowers restructured standard,,,,,,,,,,,,,,,,0.06,,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,
category during the year 4 Advances not shown as restructured standard advancesat the beginning,Amount outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category during the year 4 Advances not shown as restructured standard advancesat the beginning,Provision thereon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category during the year 4 Advances not shown as restructured standard advancesat the beginning,No.of borrowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category during the year 4 Advances not shown as restructured standard advancesat the beginning,Amount outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category during the year 4 Advances not shown as restructured standard advancesat the beginning,Provision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category during the year 4 Advances not shown as restructured standard advancesat the beginning,thereon No.of,,,,,,,,,,,,(1),+1-1,1,,,(1),,,,,,,,,,,,,,,,,,,,,,,,,
category during the year 4 Advances not shown as restructured standard advancesat the beginning,gradation of borrowers restructured accounts Amount during the,,,,,,,,,,,,(0.60),(5.58),6.18,,,(0.60),(5.58),6.18,,,,,,,,,,,,,,,,,,,,,,,
"year 6 Write-offs of restructured yeargthe accounts 7 Restructured accountsas at March 31, 2021*",outstanding Provision,,,,,,,,,,,,(0.70),0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"year 6 Write-offs of restructured yeargthe accounts 7 Restructured accountsas at March 31, 2021*",thereon No.of,,,3,,,,,,,,,,5,1,,8,1,(0.70),0.70,,,,,,,,,,,,,,,,,,,,,,,
"year 6 Write-offs of restructured yeargthe accounts 7 Restructured accountsas at March 31, 2021*",borrowers Amount outstanding,,,42.65,,3 42.65,,,,,,0.48,1 44.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
