"ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#",,,,,
"ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#",,Extentof,,Extent of,
"ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#",Extent of,"""below",Extent of,Extent of,
"ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#",Amount(1),private,investment,"""unrated""","""unlisted"""
"ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#",,placement#,"grade""",securities# (2),securities#(3)
"ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#","ExtentofSr. Extent of ""below Extent of Extent ofAmount(1) privateinvestment""unrated""""unlisted""IssuerNo. placement# grade"" securities# (2) securities#(3)securities#",,,securities#,,
1 Public sector undertakings,"7,058.68","6,505.03",,,,,,,,
2Financial institutions,"3,490.82","1,200.00",,,,,,,,
3Banks,"3,642.71",255.40,,■,=,,,,,
4Privatecorporate,"50,843.98","36,117.38","1,013.00",15.86,"2,655.51",,,,,
