Acronym,Literal Translation
LCA,Lead Covered Agency
LSIB,Large Scale International Boundaries
M/SS,Office of Management Strategy and Solutions
ML,Machine-Learning
NGAC,National Geospatial Advisory Committee
NGDA,National Geospatial Data Asset(s)
NGO,Non-Governmental Organization
NSDI,National Spatial Data Infrastructure
OBO,Bureau of Overseas Buildings Operations
OES,Bureau of Oceans and International Environmental and Scientific Affairs
OFM,Office of Foreign Missions
OGC,Open Geospatial Consortium
OIG,Office of the Inspector General
OMB,Office of Management and Budget
QA,Quality Assurance
QC,Quality Control
S,Office of the Secretary of State
SAOGI,Senior Agency Official for Geospatial Information
SBU,Sensitive But Unclassified
SDK,Software Development Kit
WBS,Work Breakdown Structure
