Acronym,Literal Translation
AI,Artificial Intelligence
APG,Agency Priority Goal
API,Application Programming Interface
AVC,"Bureau of Arms Control, Verification and Compliance"
BP,Bureau of Budget and Planning
CA,Covered Agency
CA,Bureau of Consular Affairs
CDO,Chief Data Officer
CfA,Center for Analytics
CIO,Chief Information Officer
CSO,Bureau of Conflict and Stabilization Operations
DevSecOps,"Development, Security, and Operations"
DS,Bureau of Diplomatic Security
EDC,Enterprise Data Council
EDS,Enterprise Data Strategy
F,Office of U.S. Foreign Assistance
FDS,Federal Data Strategy
FGDC,Federal Geographic Data Committee
FSI,Foreign Service Institute
GDA,Geospatial Data Act
GDAWG,Geospatial Data Act Working Group
GDS,Geospatial Data Strategy
GTM,Bureau of Global Talent Management
INR,Bureau of Intelligence and Research
ISO,International Organization for Standardization
JSP,Joint Strategic Plan
