```csv
Currency,2020 annual base salary,2020 pension benefits,2020 Annual Incentive (performance achieved),Equity (value at grant date),PSUs (target value at grant date),LTPP 2020-2022 cycle grants at target,Other 2020 compensation,Total compensation paid, promised or granted 2020
CHF,"1 743 750","175 102","1 318 275","1 318 275","5 712 549","113 841","10 381 793"
CHF,"798 617","167 294","480 000","480 022","1 679 265","85 587","3 690 785"
CHF,"634 834","177 088","256 000","256 052","1 152 115","131 745","2 607 834"
USD,"1 203 654","373 063","768 900","768 963","2 911 862","88 472","6 114 914"
CHF,"1 063 433","171 930","585 750","585 814","2 769 330","50 294","5 226 551"
CHF,"862 500","182 852","525 000","525 005","1 925 517","32 773","4 053 647"
CHF,"758 333","171 130","228 000","684 038","1 367 619","12 918","3 222 037"
CHF,"520 833","184 884","241 500","241 516","840 004","29 496","2 058 233"
CHF,"778 333","190 372","390 000","390 055","1 482 060","1 737 100","4 967 920"
CHF,"871 250","173 111","341 445","796 797","2 013 669","581 188","4 777 460"
CHF,"868 333","182 517","478 500","478 560","2 175 855","104 669","4 288 434"
CHF,"871 250","182 216","437 750","437 791","2 013 669","-","3 942 677"
CHF,"634 834","186 392","215 040","399 430","1 152 115","2 925","2 590 735"
CHF,"11 536 583","2 495 208","6 219 290","7 315 444","27 018 132","2 965 615","57 550 273"
```
