```csv
Currency,Cash (amount),Amount^1,Cash (amount),Equity (value at grant date)^2,PSUs (target value at grant date)^3,Amount^4,Amount^5
CHF,1 769 200,176 731,1 328 625,1 328 642,5 757 423,265 401,10 626 023
USD,1 184 462,367 246,712 802,712 839,2 970 016,92 286,6 039 652
CHF,519 750,85 987,261 062,261 133,1 442 371,542 689,3 112 992
CHF,1 072 084,177 174,354 255,1 062 820,2 791 111,43 617,5 501 060
CHF,233 333,49 692,105 288,105 360,448 824,180 428,1 122 925
CHF,780 833,180 413,508 680,763 076,1 570 027,14 430,3 817 459
CHF,566 667,198 992,253 000,253 004,1 035 044,49 850,2 356 557
CHF,785 000,190 263,196 500,196 572,1 493 478,416 693,3 278 506
CHF,881 333,180 837,88 250,794 262,2 118 082,856 650,4 919 415
CHF,875 834,186 807,306 950,307 012,2 192 567,201 307,4 070 477
CHF,881 333,164 980,706 000,706 019,2 029 750,–,4 488 083
CHF,673 333,171 352,299 200,299 275,1 292 042,–,2 735 202
Total,10 121 211,2 098 866,5 059 259,6 728 657,24 885 096,2 655 408,51 548 498
```
