```csv
Model,Size,Avg,AQuA-RAT,LogiQA,LSAT-AR,LSAT-LR,LSAT-RC,SAT-en,SAT-en (w/o Psg.),SAT-math
MPT,7B,23.5,"27.6",23.0,18.7,21.2,20.8,25.2,32.5,23.6
MPT,30B,33.8,"28.0",28.7,23.9,35.1,37.9,63.1,36.9,27.7
Falcon,7B,21.2,"21.7",22.3,16.1,17.3,20.4,26.2,23.8,26.4
Falcon,40B,37.0,"18.5",36.4,19.6,40.2,45.7,58.7,58.7,32.7
LLAMA 1,7B,23.9,"18.9",24.6,26.1,19.2,21.9,33.0,32.5,22.3
LLAMA 1,13B,33.9,"20.1",34.9,22.2,31.6,39.8,52.9,45.1,29.5
LLAMA 1,33B,41.7,"18.9",37.3,18.7,48.0,59.5,74.8,44.7,35.0
LLAMA 1,65B,47.6,"23.6",42.1,23.9,56.7,63.6,83.0,48.1,41.8
LLAMA 2,7B,29.3,"23.2",31.0,23.9,22.4,32.7,43.2,37.4,28.2
LLAMA 2,13B,39.1,"21.7",38.1,23.0,41.0,54.6,62.1,46.1,27.3
LLAMA 2,34B,43.4,"19.3",40.7,21.3,47.5,62.1,77.2,49.0,32.7
LLAMA 2,70B,54.2,"23.2",48.8,25.7,70.2,76.6,86.9,53.4,41.8
```
