Problem Possible Causes What To Do,Problem Possible Causes What To Do,Problem Possible Causes What To Do
The dishesare not clean.,"Not enough detergent Use more detergent,or change was dispensed. your detergent.","Not enough detergent Use more detergent,or change was dispensed. your detergent."
The dishesare not clean.,Items are blocking Rearrange the items so that the spray the movement of can rotate freely. the spray arms.,Items are blocking Rearrange the items so that the spray the movement of can rotate freely. the spray arms.
The dishesare not clean.,The filter combination is not dlean or is not correctly fitted in thebase of wash cabinet. This may cause the spray arm jets to get blocked.,Clean and/or fit the filter correctly.Clean the spray arm jets.
Cloudiness onglassware.,Combination of softwater and too muchdetergent.,Use less detergent if you have softwaterand select a shorter cycle towash the glassware and to get them clean.
White spotsappear on dishesand glasses.,Hard water area Add more detergent. can cause limescaledeposits.,Hard water area Add more detergent. can cause limescaledeposits.
Black or greymarks on dishes,Aluminium utensils have rubbed againstdishes,Use a mild abrasive cleaner toeliminate those marks.
Detergent left indispenser,Dishes block detergent dispenser,Re-loading the dishes properly.
The dishes aren'tdrying,Improper loading,Load the dishwasher as suggested inthe directions.
The dishes aren'tdrying,Dishes are removed Do not empty your dishwasher too soon immediately after washing. Openthe door slightly so that the steamcan come out.Take out the dishesuntil the inside temperature is safeto touch.Unload the lower basketfirst to prevent the dropping waterfrom the upper basket.,Dishes are removed Do not empty your dishwasher too soon immediately after washing. Openthe door slightly so that the steamcan come out.Take out the dishesuntil the inside temperature is safeto touch.Unload the lower basketfirst to prevent the dropping waterfrom the upper basket.
Problem,Possible Causes,What To Do
The dishes aren't drying,Wrong program has been selected.,"With a short program,the washing temperature is lower, decreasing cleaning performance. Choose a program with a long washing time."
The dishes aren't drying,Use of cutlery with a low-quality coating.,Water drainage is more difficult with these items. Cutlery or dishes of this type are not suitable for washing in the dishwasher.
