Problem Possible Causes What To Do,Problem Possible Causes What To Do,Problem Possible Causes What To Do,Problem Possible Causes What To Do,
,,Spilled rinse-aid.,Always wipe up rinse-aid spillsimmediately.,
Stained tub interior,Stained tub interior,Detergent with colourant may have been used.,Make sure that the detergent has nocolourant.,
White film on,White film on,Hard water minerals.,"To clean the interior,use a dampsponge with dishwasher detergentand wear rubber gloves. Never useany other cleaner than dishwasherdetergent otherwise,it may causefoaming or suds.",
inside surface,inside surface,Hard water minerals.,"To clean the interior,use a dampsponge with dishwasher detergentand wear rubber gloves. Never useany other cleaner than dishwasherdetergent otherwise,it may causefoaming or suds.",
There are rust,There are rust,The affected items are not corrosionresistant.,Avoid washing items that are notcorrosion resistant in the dishwasher.,
stains on cutlery,stains on cutlery,The affected items are not corrosionresistant.,Avoid washing items that are notcorrosion resistant in the dishwasher.,
stains on cutlery,stains on cutlery,A program was not run after,"Always run a wash programwithout any crockery after addingsalt. Do not select the Turbo function(if present),after adding dishwashersalt.",
stains on cutlery,stains on cutlery,dishwasher salt wasadded. Traces of salt have gotten into the wash cycle.,"Always run a wash programwithout any crockery after addingsalt. Do not select the Turbo function(if present),after adding dishwashersalt.",
stains on cutlery,stains on cutlery,The lid of the softer is loose.,Check the softener lid is secure.,
Knocking noise inthe dishwasher,Knocking noise inthe dishwasher,A spray arm is knockingagainst an item in abasket,Interrupt the program andrearrange the items which areobstructing the spray arm.,
Rattling noise in,Rattling noise in,Items of crockery are loose in thedishwasher.,Interrupt the program andrearrange the items of crockery.,
the dishwasher,the dishwasher,Items of crockery are loose in thedishwasher.,Interrupt the program andrearrange the items of crockery.,
Knocking noise inthe water pipes,Knocking noise inthe water pipes,This may be causedby on-site installation or the cross-section of the piping.,"This has no influence on thedishwasher function.If in doubt,contact a qualified plumber.",
The dishesare not clean,The dishesare not clean,The dishes were notloaded correctly.,"See PART I ""Preparing And LoadingDishes"".",
The dishesare not clean,The dishesare not clean,The dishes were notloaded correctly.,"See PART I ""Preparing And LoadingDishes"".",
,,The program was not powerful enough.,Select a more intensive program.,
