Program,Description Of Cycle,Detergent Pre/Main,Running Time(min),Energy (kWh),Water (L),Rinse Aid
ECO (*EN 60436),Wash(50℃) Rinse Rinse(50℃) Drying,23g 1 or 2 pieces,210,0.861,10,.
B2 29 min,Wash(40C) Rinse(40℃) Rinse(55℃),12g 1 piece,29,0.661,11,
B45 45 min,Wash(60℃) Rinse(55℃) Rinse(60℃) Drying,23g 1 piece,45,0.931,10.0,.
? Auto,Prewash(45℃) Auto wash(55-65C) Rinse Rinse Rinse(50-55℃) Drying,4/19g 1or 2 pieces,85-150,1.050-1.242,10.6-15.9,
H+ Hygiene,Prewash(50℃) Wash(70℃) Rinse Rinse Rinse(70℃) Drying,4/19g 1 or2 pieces,200,1.634,16.5,
山 Intensive,Prewash(50℃) Wash(65℃) Rinse Rinse Rinse(60℃) Drying,4/19g 1or 2 pieces,205,1.503,16.5,.
Program,Description Of Cyde,Detergent Pre/Main,Running Time(min),Energy (kwh),Water (L),Rinse Aid
C Glass 有,Prewash(40℃) Wash(50℃),4/19g,120,0.858,13.5,.
C Glass 有,Rinse Rinse(50℃) Drying,1or2 pieces,,,,
C Glass 有,Prewash,,15,0.020,4,O
