Display,Display,Display
8 Screen,"To show the Running time, Delay time, Error Code etc.","To show the Running time, Delay time, Error Code etc."
9 icon,Warning,"米 Rinse Aid If the “米 “ icon is lit, it means the dishwasher is low on dishwasher rinse aid and requires a refill. 5"
9 icon,Warning,"Salt If the ““ icon is lit, it means the dishwasher is low on"
9 icon,Warning,"dishwasher salt and needs to be refilled. Water Faucet If the ““ icon is lit,it means the water faucet closed."
10 Program icon,,"ECO ECO This is standard program,it is suitable to clean normally soiled tableware and it is the most efficient program in"
10 Program icon,B29 min,terms of its combined energy and water consumption for that type of tableware. This program guarantees the washing of a normally
10 Program icon,B445 min,soiled daily load in only 29 min.
10 Program icon,?,"This program washes and dry an extra full load in 45 min. Auto For lightly,normally or heavily soiled crockery with or"
10 Program icon,H+,without dried-on food.This program automatically adapts itself to the amount and dirtiness of the dishes. Hygiene Use to sanitize your dishes and glassware.Maintains
10 Program icon,Intensive,the water temperature at 70℃. For heavily soiled items include pots and pans.With dried
10 Program icon,C,on food. Glass
10 Program icon,邮,For normally soiled loads that need quick wash. Soak To rinse dishes that you plan to wash later that day.
11 Function icon,直,"Extra Cleaning For very dirty and hard to clean dishes.( It can only be used with ECO, Intensive,Glass, Hygiene） Extra Drying To dry dishes more completely.（It can only be used with ECO,Intensive,Glass,Hygiene ） Express Reduce the program time.( It can only be used with ECO, Intensive,Glass,Hygiene )"
12 Alt icon,四 Upper basket 国 Lower basket,"When you select Upper,only the upper rack nozzle is activated.The lower nozzle will not work. When you select Lower,only the lower rack nozzle is activated.The upper nozzle will not work."
