Problem,Possible Causes,What To Do
The dishes are not clean.,,"Use more detergent, or change your detergent."
,Items are blocking the movement of the spray arms.,Rearrange the items so that the spray can rotate freely.
,The filter combination is not clean or is correctly fitted in the base of wash cabinet. This may cause the spray arm jets to get blocked.,Clean and/or fit the filter correctly. Clean the spray arm jets.
Cloudiness on glassware.,Combination of soft water and too much detergent.,Use less detergent if you have soft water and select a shorter cycle to wash the glassware and to get them clean.
White spots appear on dishes and glasses.,Hard water area can cause limescale deposits.,Add more detergent.
Black or grey marks on dishes,Aluminium utensils have rubbed against dishes,Use a mild abrasive cleaner to eliminate those marks.
Detergent left in dispenser,Dishes block detergent dispenser,Re-loading the dishes properly.
The dishes aren't drying,Improper loading,Load the dishwasher as suggested in the directions.
,Dishes are removed too soon,Do not empty your dishwasher immediately after washing. Open the door slightly so that the steam can come out. Take out the dishes until the inside temperature is safe to touch. Unload the lower basket first to prevent the dropping water from the upper basket.
The dishes aren't drying,Wrong program has been selected.,"With a short program, the washing temperature is lower, decreasing cleaning performance. Choose a program with a long washing time."
The dishes aren't drying,Use of cutlery with a low-quality coating.,Water drainage is more difficult with these items. Cutlery or dishes of this type are not suitable for washing in the dishwasher.
