Display,8 Screen,"To show the Running time, Delay time, Error Code etc."
,9 Warning icon,
,,"If the “” icon is lit, it means the dishwasher is low on dishwasher rinse aid and requires a refill."
,,"If the “” icon is lit, it means the dishwasher is low on dishwasher salt and needs to be refilled."
,,"If the “” icon is lit, it means the water faucet closed."
,10 Program icon,"This is standard program, it is suitable to clean normally soiled tableware and it is the most efficient program in terms of its combined energy and water consumption for that type of tableware."
,29 min,This program guarantees the washing of a normally soiled daily load in only 29 min.
,45 min,This program washes and dry an extra full load in 45 min.
,Auto,"For lightly, normally or heavily soiled crockery with or without dried-on food. This program automatically adapts itself to the amount and dirtiness of the dishes."
,Hygiene,Use to sanitize your dishes and glassware. Maintains the water temperature at 70°C.
,Intensive,For heavily soiled items include pots and pans. With dried on food.
,Glass,For normally soiled loads that need quick wash.
,Soak,To rinse dishes that you plan to wash later that day.
