Govt/Jurisdiction	Criminalized Drug Money Laundering	Know-Your-Customer Provisions	Report Suspicious Transactions (YVN)	Maintain Records Over Time	Cross-Border Transportation of Currency	Financial Intelligence Unit is a Member of the Egmont Group of FIUs	Int'l Law Enforcement Cooperation	System for Identifying/Forfeiting Assets	Arrangements for Asset Sharing	Information exchange agreements with non-U.S. govts	States Party to 1988 UN Drug Convention	States Party to UNTOC	States Party to UNCAC
Afghanistan	Y	Y	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	Y
Albania	Y	Y	Y	Y	Y	Y	Y	N	Y	Y	Y	Y	N
Algeria	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Antigua and Barbuda	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Argentina	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Armenia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Aruba	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	N
Bahamas	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Barbados	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	Y
Belgium	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Belize	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Benin	Y	Y	Y	Y	Y	Y	Y	Y	N	Y	Y	Y	N
Bhutan	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Bolivia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Bosnia and Herzegovina	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Botswana	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Bouvet Island	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Brazil	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Brunei	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Bulgaria	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Burkina Faso	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Burundi	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Cambodia	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Cameroon	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Canada	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
Cape Verde	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Central African Republic	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
Chad	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	N
