,,,Common StockShares(000's) Amount,Common StockShares(000's) Amount,Common StockShares(000's) Amount,Common StockShares(000's) Amount,AdditionalPaid-inCapital,AccumulatedOtherComprehensiveIncome (Loss),,Total Costco,,,,,
,,,Common StockShares(000's) Amount,Common StockShares(000's) Amount,Common StockShares(000's) Amount,Common StockShares(000's) Amount,AdditionalPaid-inCapital,AccumulatedOtherComprehensiveIncome (Loss),RetainedEarnings,Stockholders'Equity,NoncontrollingInterests,TotalEquity,,,
"BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","SEPTEMBER1,2019","SEPTEMBER1,2019","SEPTEMBER1,2019","SEPTEMBER1,2019","439,625",$ 4,"$ 6,417",$,,"$ 15,243",,,
"BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","SEPTEMBER1,2019","SEPTEMBER1,2019","SEPTEMBER1,2019","SEPTEMBER1,2019","439,625",$ 4,"$ 6,417",$,"(1,436)$ 10,258","$ 15,243",,,
"BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net",,,,,,,,"4,002","4,002",57,"4,059",,
"BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net",,,,,,,,"4,002","4,002",57,,,
"BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net","BALANCE ATSEPTEMBER1,2019Net incomeForeign-currency translationadjustment and other, net",,139,,,,,,139,23,162,,,
Stock-based compensation,Stock-based compensation,Stock-based compensation,,,,,621,,,621,,621(330),,,
Release of vested restricted,Release of vested restricted,Release of vested restricted,,,,,,,,,,621(330),,,
"stock units (RSUs),including tax effectsRepurchases of common stock","stock units (RSUs),including tax effectsRepurchases of common stock","stock units (RSUs),including tax effectsRepurchases of common stock","2,273",,,,,(330),,,(330),621(330),,,
"stock units (RSUs),including tax effectsRepurchases of common stock","stock units (RSUs),including tax effectsRepurchases of common stock","stock units (RSUs),including tax effectsRepurchases of common stock",(643),,,,(10),,(188),(198),,(198),,,
Cash dividends declared andother,Cash dividends declared andother,Cash dividends declared andother,,,,,,,"(1,193)","(1,193)",,"(1,193)",,,
"BALANCEATAUGUST 30,2020","BALANCEATAUGUST 30,2020","BALANCEATAUGUST 30,2020","441,255",4,4,4,"6,698","(1,297)","12,879","18,284",421,"18,705",,,
Net income,Net income,Net income,,,,,,,"5,007","5,007",72,"5,079",,,
"Foreign-currency translationadjustment and other, net","Foreign-currency translationadjustment and other, net","Foreign-currency translationadjustment and other, net",,,,,,,"5,007","5,007",,,,,
"Foreign-currency translationadjustment and other, net","Foreign-currency translationadjustment and other, net","Foreign-currency translationadjustment and other, net",,,160,,160,21,181,,,,,,
Stock-based compensation,Stock-based compensation,Stock-based compensation,,,,,668,,,668,,,,,668
