,United States,United States,Other International,Other International,Total
,,Canada,,,Total
2022,,,,,
Total revenue,"$ 165,294","$ 31,675",$,"29,985","$ 226,954"
Operating income,"5,268","1,346",,"1,179","7,793"
Depreciation and amortization,"1,436",,180,284,"1,900"
Additions to property and equipment,"2,795",,388,708,"3,891"
"Property and equipment, net","17,205","2,459",,"4,982","24,646"
Total assets,"44,904","6,558",,"12,704","64,166"
2021,,,,,
Total revenue,"$ 141,398","$ 27,298",$,"27,233","$ 195,929"
Operating income,"4,470","1,093",,"1,145","6,708"
Depreciation and amortization,"1,339",,177,265,"1,781"
Additions to property and equipment,"2,612",,272,704,"3,588"
"Property and equipment, net","15,993","2,317",,"5,182","23,492"
Total assets,"39,589","5,962",,"13,717","59,268"
2020,,,,,
Total revenue,"$ 122,142","$ 22,434",$,"22,185 $","166,761"
Operating income,"3,822",,778,835,"5,435"
Depreciation and amortization,"1,248",,155,242,"1,645"
Additions to property and equipment,"2,060",,258,492,"2,810"
"Property and equipment, net","14,916","2,172",,"4,719","21,807"
Total assets,"38,366","5,270",,"11,920","55,556"
