Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions),Average Sales Per Warehouse* (Sales In Millions)
Year Opened,# of Whses,,,,,,,$,150
2022 2021,23 20,,,,,,,$ 140,158
2020,13,,,,,,$ 132,152,184
2019,20,,,,,$ 129,138,172,208
2018,21,,,,$ 116,119,141,172,202
2017,26,,,$,121,142,158 176,206,237
2016,29,,$,87,97,118 131,145,173,204
2015,23,,$ 83,85,94,112 122,136,163,189
2014,30,$ 108,109,115,125,140,144 155,182,208
2013& Before,633 $,160 167,168,167,173,186,193 203,230,261
Totals,838,160 164,162,159,163,176,182,192 217,245
,2013,2014,2015,2016,2017,2018,2019 2020,2021,2022
Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year,Fiscal Year
