REVENUE,August 28,2022,August 29,2021,August 30,2020
Net sales,"$ 222,730","$ 192,052","$ 163,220",,,
Membership fees,"4,224","3,877","3,541",,,
Total revenue,"226,954","195,929","166,761",,,
OPERATING EXPENSES,Merchandise costs,"199,382","170,684","144,939",,
Selling, general and administrative,"19,779","18,537","16,387",,
Operating income,"7,793","6,708","5,435",,,
OTHER INCOME (EXPENSE),Interest expense,(158),(171),(160),,
Interest income and other, net,205,143,92,,
INCOME BEFORE INCOME TAXES,"7,840","6,680","5,367",,,
Provision for income taxes,"1,925","1,601","1,308",,,
Net income including noncontrolling interests,"5,915","5,079","4,059",,,
Net income attributable to noncontrolling interests,(71),(72),(57),,,
NET INCOME ATTRIBUTABLE TO COSTCO,"$ 5,844","$ 5,007","$ 4,002",,,
NET INCOME PER COMMON SHARE ATTRIBUTABLE TO COSTCO:Basic,$ 13.17,$ 11.30,$ 9.05,,,
Diluted,$ 13.14,$ 11.27,$ 9.02,,,
Shares used in calculation (000's)Basic,"443,651","443,089","442,297",,,
Diluted,"444,757","444,346","443,901",,,
