Net Sales,2022,2021,2020
Net Sales,"$222,730","$ 192,052","$163,220"
Increases in net sales:,,,
U.S.,17 %,16 %,9%
Canada,16%,22%,5%
Other International,10%,23%,13 %
Total Company,16 %,18%,9%
Increases in comparable sales:,,,
U.S.,16 %,15 %,8%
Canada,15 %,20%,5%
Other International,7%,19%,9%
Total Company,14%,16 %,8%
Increases in comparable sales excluding the impact of changes in foreign currency and gasoline prices:,,,
U.S.,10%,14 %,9%
Canada,12 %,12%,7%
Other International,10%,13%,11%
Total Company,11%,13 %,9%
