Exhibit Number,Exhibit Description,Filed Herewith,Form,Period Ended,Filing Date
3.1,Articles of Incorporation as amended of Costco Wholesale Corporation,x,,,6/2/2022
3.2,Bylaws as amended of Costco Wholesale Corporation,10-Q,5/8/2022,6/2/2022,
4.1,"First Supplemental Indenture between Costco Wholesale Corporation and U.S. Bank National Association, as Trustee, dated as of March 20, 2002 (incorporated by reference to Exhibits 4.1 and 4.2 to the Company's Current Report on the Form 8-K filed on March 25, 2002)",8-K,,,3/25/2002
4.2,"Form of 1.375% Senior Notes due June 20, 2027",8-K,,,4/17/2020
4.3,"Form of 1.600% Senior Notes due April 20, 2030",8-K,,,4/17/2020
4.4,"Form of 1.750% Senior Notes due April 20, 2032",8-K,,,4/17/2020
4.5,"Form of 2.300% Senior Notes due May 18, 2022",8-K,,,5/16/2017
4.6,"Form of 2.750% Senior Notes due May 18, 2024",8-K,,,5/16/2017
4.7,"Form of 3.000% Senior Notes due May 18, 2027",8-K,,,5/16/2017
4.8,Description of Common Stock,x,,,
10.1*,Costco Wholesale Executive Health Plan,10-K,9/2/2012,10/19/2012,
10.2*,2019 Incentive Plan,DEF 14,,,12/17/2019
10.3*,Seventh Restated 2002 Stock Incentive Plan,DEF 14A,,,12/19/2014
10.3.1*,2019 Stock Incentive Plan Restricted Stock Unit Award Agreement-Employee,10-Q,11/24/2019,12/23/2019,
10.3.2*,2019 Stock Incentive Plan Restricted Stock Unit Award Agreement - Non-U.S. Employee,10-Q,11/24/2019,12/23/2019,
