2.300% Senior Notes due May 2022,2022,2021
2.750% Senior Notes due May 2024,"1,000","1,000"
3.000% Senior Notes due May 2027,"1,000","1,000"
1.375% Senior Notes due June 2027,"1,250","1,250"
1.600% Senior Notes due April 2030,"1,750","1,750"
1.750% Senior Notes due April 2032,"1,000","1,000"
Other long-term debt,590,731
Total long-term debt,"6,590","7,531"
Less unamortized debt discounts and issuance costs,33,40
Less current portion,73,799
"Long-term debt, excluding current portion","6,484","6,692"
