Name,Position,Executive Officer Since,Age 70
W. Craig Jelinek,Chief Executive Officer. Mr. Jelinek has been a director since February 2010.Mr.Jelinek previously was President and CEO from January2012toFebruary _2022.He was President and Chief Operating Officer from February 2010 to December 2011.Prior to that he was ExecutiveVice President，Chief Operating Officer，Merchandising since,1995,
Ron M.Vachris,"2004. President and Chief Operating Officer. Mr. Vachris has been adirector _since February 2022.Mr.Vachris previously served as Executive Vice President of Merchandising from June 2016 to January _2022,as Senior Vice President,Real Estate Development,from August 2015 to June 2016,and Senior Vice President,General Manager,Northwest Region,",2016,57
Richard A. Galanti,from 2010 to July 2015. Executive Vice President and Chief Financial Officer. Mr. Galanti has been a director since January 1995.,1993,66
Jim C. Klauer,"Executive Vice President,Chief Operating Officer，Northern Division.Mr. Klauer was Senior Vice President, Non-Foods and E-commerce Merchandise, from 2013 to January 2018.",2018,60
Patrick J. Callans,"Executive Vice President， Administration.Mr. Callans was SeniorVice President,HumanResources andRisk Management, from 2013 to December 2018.",2019,60
Russ D.Miller,"Senior Executive Vice President, U.S. Operations.Mr.Miller wasExecutive Vice President，Chief Operating Officer, Southern Division andMexico,from January2018 to May 2022.Mr. Miller was Senior Vice President,Western Canada",2018,65
James P. Murphy,"Region, from 2001 to January 2018. ExecutiveVicePresident，ChiefOperating，Officer, InternationalDivision.Mr.MurphywasSeniorVice President，International，from 2004 to October 2010.Mr. Murphy is retiring from the Companyat theend of calendar",2011,69
Timothy L. Rose,"year2022. Executive Vice._President，Ancillary Businesses, Manufacturing，and Business Centers.Mr. Rose was Senior Vice President，Merchandising，Foods and Sundriesand PrivateLabel,from1995toDecember2012.Mr.Rose is",2013,70
Yoram B.Rubanenko,"retiring from the Company effective November, 2022. Executive Vice President，Chief Operating Officer， Eastern Division.Mr. Rubanenko was Senior Vice President and GeneralManager，Southeast Region，from 2013to September 2021,and Vice President，Regional Operations",2021,58
John Sullivan,"Manager for the NortheastRegion,from 1998 to 2013. Executive Vice President，General_Counsel_& Corporate Secretary._Mr. Sullivan has been General Counsel since",2021,62
Claudine E.Adamo,"2016 and Corporate Secretary since 2010. Executive Vice President，Merchandising.Ms.Adamo was SeniorVicePresident,NonFoods,from2018_toFebruary",2022,52
Caton Frates,"2022,and Vice President,Non Foods,from 2013 to 2018. Executive Vice President, Chief Operating Officer, Southwest Division.Mr.Frates was Senior Vice President, Los Angeles",2022,54
Pierre Riel,"Division,from 2015 to May 2022. ExecutiveVicePresident,ChiefOperating_Officer, International Division.Mr.Riel was Senior Vice President, CountryManager，Canada，from2019toMarch2022，and Senior Vice President, Eastern Canada Region,from 2001 to",2022,59
