United States,Canada,Other International,Total
2022,"$ 165,294","$ 31,675","$ 29,985,$ 226,954"
Total revenue,,,
Operating income,"5,268","1,346","1,179"
Depreciation and amortization,"1,436",,"180,284"
Additions to property and equipment,"2,795",,"388,708"
"Property and equipment, net","17,205","2,459","4,982"
Total assets,"44,904","6,558","12,704"
2021,"$ 141,398","$ 27,298","$ 27,233,$ 195,929"
Total revenue,,,
Operating income,"4,470","1,093","1,145"
Depreciation and amortization,"1,339",,"177,265"
Additions to property and equipment,"2,612",,"272,704"
"Property and equipment, net","15,993","2,317","5,182"
Total assets,"39,589","5,962","13,717"
2020,"$ 122,142","$ 22,434","$ 22,185,$ 166,761"
Total revenue,,,
Operating income,"3,822",,"778,835"
Depreciation and amortization,"1,248",,"155,242"
Additions to property and equipment,"2,060",,"258,492"
"Property and equipment, net","14,916","2,172","4,719"
Total assets,"38,366","5,270","11,920"
