Common Stock,Shares (000's),Amount,Additional Paid-in Capital,Accumulated Other Comprehensive Income (Loss),Retained Earnings,Total Costco Stockholders' Equity,Noncontrolling Interests,Total Equity
"Balance at September 1, 2019",439625,$ 4,"$ 6,417","$ (1,436)","$ 10,258","$ 15,243",$ 341,"$ 15,584"
Net income,,"""-""","""-""","""-""","""-""","""-""","""-""","""4,059"""
"Foreign-currency translation adjustment and other, net",,"""-""","""-""","""139""",,"""-""","""-""","""162"""
Stock-based compensation,,"""-""","""621""",,"""-""","""-""","""-""","""621"""
"Release of vested restricted stock units (RSUs), including tax effects","2,273",,"""-""","""-""","""-""","""-330""",,"""-330"""
Repurchases of common stock,(643),,"""(10)""",,"""(188)""",(198),,"""(198)"""
Cash dividends declared and other,,"""-""","""-""","""-""","""(1,193)""","(1,193)",,"""(1,193)"""
"Balance at August 30, 2020",441255,$ 4,"$ 6,698","$ (1,297)","$ 12,879","$ 18,284",$ 421,"$ 18,705"
Net income,,"""-""","""-""","""-""","""-""","""-""","""-""","""5,079"""
"Foreign-currency translation adjustment and other, net",,"""-""","""-""","""160""",,"""-""","""-""","""181"""
Stock-based compensation,,"""-""","""668""",,"""-""","""-""","""-""","""668"""
"Release of vested RSUs, including tax effects","1,928",,"""-""","""-""","""-""","""-312""",,"""-312"""
Repurchases of common stock,"(1,358)",,"""(23)""",,"""(472)""",(495),,"""(495)"""
Cash dividends declared,,"""-""","""-""","""-""","""-""","""-""","""-""","""(5,748)"""
"Balance at August 29, 2021",441825,$ 4,"$ 7,031","$ (1,137)","$ 11,666","$ 17,564",$ 514,"$ 18,078"
Net income,,"""-""","""-""","""-""","""-""","""-""","""-""","""5,915"""
"Foreign-currency translation adjustment and other, net",,"""-""","""-""","""-686""",,"""-""","""-""","""-721"""
Stock-based compensation,,"""-""","""728""",,"""-""","""-""","""-""","""728"""
"Release of vested RSUs, including tax effects","1,702",,"""-""","""-""","""-""","""-363""",,"""-363"""
Dividend to noncontrolling interest,,"""-""","""-""","""-""","""-""","""-""","""-208""",
Acquisition of noncontrolling interest,,"""-""","""(499)""",(6),"""-505""",-337,,-842
Repurchases of common stock,(863),,"""(15)""",,"""(427)""",(442),,"""(442)"""
Cash dividends declared and other,,"""-""","""-""","""-""","""-1,498""","-1,498",,"""-1,498"""
"Balance at August 28, 2022",442664,$ 2,"$ 6,884","$ (1,829)","$ 15,585","$ 20,642",$ 5,"$ 20,647"
