2019*,2019*,2020,Proportion of total sales (%),Proportion of total sales (%),RIG (%),OG (%)
Western Europe,13481,12909,,63.8%,,
Eastern and Central Europe,3794,3547,,17.5%,,
Middle Eastand North Africa,4189,3 770,,18.7%,,
Powdered and Liquid Beverages,5291,5 239,,25.9%,,
Water,2378,1967,,9.7%,,
Milk products and Ice cream,987,849,,4.2%,,
Prepared dishes and cooking aids,3853,3473,,17.2%,,
Confectionery,3319,3038,,15.0%,,
PetCare,3624,3786,,18.7%,,
Nutrition and Health Science,2012,1874,,9.3%,,
Total sales,21464,20 226,,,+3.3%,+2.9%
Underlying trading operating profit,3878,3766,,18.6%,,
Trading operating profit,3662,3575,,17.7%,,
Capital additions,1340,1432,,7.1%,,
