2019*,2020,Proportion of total sales (%),RIG (%),OG (%)
ASEAN markets,7 248,7 105,34.3%,"0.0%,+0.5%"
Oceania and Japan,3 040,2 888,13.9%,"0.0%,+0.5%"
Other Asian markets,9 394,8 394,40.5%,"0.0%,+0.5%"
Sub-Saharan Africa,2 437,2 343,11.3%,"0.0%,+0.5%"
Powdered and Liquid Beverages,6 289,5 969,28.8%,"0.0%,+0.5%"
Water,515,405,2.0%,"0.0%,+0.5%"
Milk products and Ice cream,4 982,4 862,23.4%,"0.0%,+0.5%"
Prepared dishes and cooking aids,2 737,2 667,12.9%,"0.0%,+0.5%"
Confectionery,2 001,1 739,8.4%,"0.0%,+0.5%"
PetCare,628,673,3.2%,"0.0%,+0.5%"
Nutrition and Health Science,4 967,4 415,21.3%,"0.0%,+0.5%"
Total sales,22 119,20 730,0.0%,"0.0%,+0.5%"
Underlying trading operating profit,4 977,4 599,22.2%,"0.0%,+0.5%"
Trading operating profit,3 724,4 466,21.5%,"0.0%,+0.5%"
Capital additions,888,941,4.5%,"0.0%,+0.5%"
